metric,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,stock,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Diluted NI Availto Com Stockholders,500000000.0,923000000.0,1418000000.0,302000000.0,COOP,,,,,,,,,,,
Net Income Common Stockholders,500000000.0,923000000.0,1418000000.0,302000000.0,COOP,,,,,,,,,,,
Otherunder Preferred Stock Dividend,0.0,0.0,36000000.0,3000000.0,COOP,,,,,,,,,,,
Preferred Stock Dividends,,,8000000.0,3000000.0,COOP,,,,,,,,,,,
Net Income,500000000.0,923000000.0,1454000000.0,305000000.0,COOP,,,,,,,,,,,
Minority Interests,,0.0,0.0,-2000000.0,COOP,,,,,,,,,,,
Net Income Including Noncontrolling Interests,500000000.0,923000000.0,1454000000.0,307000000.0,COOP,,,,,,,,,,,
Net Income Discontinuous Operations,0.0,0.0,-12000000.0,-2000000.0,COOP,,,,,,,,,,,
Net Income Continuous Operations,500000000.0,923000000.0,1466000000.0,309000000.0,COOP,,,,,,,,,,,
Tax Provision,154000000.0,291000000.0,471000000.0,93000000.0,COOP,,,,,,,,,,,
Pretax Income,654000000.0,1214000000.0,1937000000.0,402000000.0,COOP,,,,,,,,,,,
Other Income Expense,41000000.0,187000000.0,528000000.0,-135000000.0,COOP,,,,,,,,,,,
Other Non Operating Income Expenses,-55000000.0,-36000000.0,528000000.0,-135000000.0,COOP,,,,,,,,,,,
Special Income Charges,96000000.0,223000000.0,,,COOP,,,,,,,,,,,
Gain On Sale Of Ppe,,223000000.0,,,COOP,,,,,,,,,,,
Restructuring And Mergern Acquisition,-96000000.0,,,,COOP,,,,,,,,,,,
Net Non Operating Interest Income Expense,,,-478000000.0,-528000000.0,COOP,,,,,,,,,,,
Interest Expense Non Operating,,,478000000.0,528000000.0,COOP,,,,,,,,,,,
Interest Income Non Operating,,,231000000.0,158000000.0,COOP,,,,,,,,,,,
Operating Income,613000000.0,1027000000.0,1409000000.0,537000000.0,COOP,,,,,,,,,,,
Operating Expense,538000000.0,485000000.0,626000000.0,755000000.0,COOP,,,,,,,,,,,
Selling General And Administration,538000000.0,485000000.0,626000000.0,755000000.0,COOP,,,,,,,,,,,
General And Administrative Expense,538000000.0,485000000.0,626000000.0,755000000.0,COOP,,,,,,,,,,,
Other Gand A,538000000.0,485000000.0,626000000.0,755000000.0,COOP,,,,,,,,,,,
Gross Profit,1151000000.0,1512000000.0,2035000000.0,1292000000.0,COOP,,,,,,,,,,,
Cost Of Revenue,1171000000.0,1213000000.0,1514000000.0,1555000000.0,COOP,,,,,,,,,,,
Total Revenue,2322000000.0,2725000000.0,3549000000.0,2847000000.0,COOP,,,,,,,,,,,
Operating Revenue,2322000000.0,2725000000.0,3549000000.0,2847000000.0,COOP,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,BABA,,,,,-461380000.0,-6285250000.0,0.0,,,,
Tax Rate For Calcs,,,,,BABA,,,,,0.17,0.25,0.176823,,,,
Normalized EBITDA,,,,,BABA,,,,,155826000000.0,153367000000.0,217963000000.0,,,,
Total Unusual Items,,,,,BABA,,,,,-2714000000.0,-25141000000.0,0.0,,,,
Total Unusual Items Excluding Goodwill,,,,,BABA,,,,,-2714000000.0,-25141000000.0,0.0,,,,
Net Income From Continuing Operation Net Minority Interest,,,,,BABA,,,,,72783000000.0,62249000000.0,150578000000.0,,,,
Reconciled Depreciation,,,,,BABA,,,,,46938000000.0,48065000000.0,47909000000.0,,,,
Reconciled Cost Of Revenue,,,,,BABA,,,,,516261000000.0,503032000000.0,385723000000.0,,,,
EBITDA,,,,,BABA,,,,,153112000000.0,128226000000.0,217963000000.0,,,,
EBIT,,,,,BABA,,,,,106174000000.0,80161000000.0,170054000000.0,,,,
Net Interest Income,,,,,BABA,,,,,-16989000000.0,-20611000000.0,68318000000.0,,,,
Interest Expense,,,,,BABA,,,,,16989000000.0,20611000000.0,4476000000.0,,,,
Interest Income,,,,,BABA,,,,,,,72794000000.0,,,,
Normalized Income,,,,,BABA,,,,,75035620000.0,81104750000.0,150578000000.0,,,,
Net Income From Continuing And Discontinued Operation,,,,,BABA,,,,,72783000000.0,62249000000.0,150578000000.0,,,,
Total Expenses,,,,,BABA,,,,,765622000000.0,758283000000.0,627611000000.0,,,,
Total Operating Income As Reported,,,,,BABA,,,,,100351000000.0,69638000000.0,89678000000.0,,,,
Diluted Average Shares,,,,,BABA,,,,,2639250000.0,2723375000.0,2747750000.0,,,,
Basic Average Shares,,,,,BABA,,,,,2622500000.0,2694750000.0,2702375000.0,,,,
Diluted EPS,,,,,BABA,,,,,27.44,22.72,54.72,,,,
Basic EPS,,,,,BABA,,,,,27.68,22.96,55.620704,,,,
Diluted NI Availto Com Stockholders,,,,,BABA,,,,,72471000000.0,61922000000.0,150253000000.0,,,,
Average Dilution Earnings,,,,,BABA,,,,,-38000000.0,-37000000.0,-55000000.0,,,,
Net Income Common Stockholders,,,,,BABA,,,,,72509000000.0,61959000000.0,150308000000.0,,,,
Otherunder Preferred Stock Dividend,,,,,BABA,,,,,274000000.0,290000000.0,270000000.0,,,,
Net Income,,,,,BABA,,,,,72783000000.0,62249000000.0,150578000000.0,,,,
Minority Interests,,,,,BABA,,,,,7210000000.0,15170000000.0,7294000000.0,,,,
Net Income Including Noncontrolling Interests,,,,,BABA,,,,,65573000000.0,47079000000.0,143284000000.0,,,,
Net Income Continuous Operations,,,,,BABA,,,,,65573000000.0,47079000000.0,143284000000.0,,,,
Earnings From Equity Interest Net Of Tax,,,,,BABA,,,,,-8063000000.0,14344000000.0,6984000000.0,,,,
Tax Provision,,,,,BABA,,,,,15549000000.0,26815000000.0,29278000000.0,,,,
Pretax Income,,,,,BABA,,,,,89185000000.0,59550000000.0,165578000000.0,,,,
Other Income Expense,,,,,BABA,,,,,3109000000.0,-14618000000.0,7582000000.0,,,,
Other Non Operating Income Expenses,,,,,BABA,,,,,5823000000.0,10523000000.0,7582000000.0,,,,
Special Income Charges,,,,,BABA,,,,,-2714000000.0,-25141000000.0,0.0,,,,
Impairment Of Capital Assets,,,,,BABA,,,,,2714000000.0,25141000000.0,0.0,,,,
Net Non Operating Interest Income Expense,,,,,BABA,,,,,-16989000000.0,-20611000000.0,68318000000.0,,,,
Interest Expense Non Operating,,,,,BABA,,,,,16989000000.0,20611000000.0,4476000000.0,,,,
Interest Income Non Operating,,,,,BABA,,,,,,,72794000000.0,,,,
Operating Income,,,,,BABA,,,,,103065000000.0,94779000000.0,89678000000.0,,,,
Operating Expense,,,,,BABA,,,,,215927000000.0,218833000000.0,206406000000.0,,,,
Depreciation Amortization Depletion Income Statement,,,,,BABA,,,,,13504000000.0,11647000000.0,12427000000.0,,,,
Depreciation And Amortization In Income Statement,,,,,BABA,,,,,13504000000.0,11647000000.0,12427000000.0,,,,
Amortization,,,,,BABA,,,,,13504000000.0,11647000000.0,12427000000.0,,,,
Amortization Of Intangibles Income Statement,,,,,BABA,,,,,13504000000.0,11647000000.0,12427000000.0,,,,
Research And Development,,,,,BABA,,,,,56744000000.0,55465000000.0,57236000000.0,,,,
Selling General And Administration,,,,,BABA,,,,,145679000000.0,151721000000.0,136743000000.0,,,,
Selling And Marketing Expense,,,,,BABA,,,,,103496000000.0,119799000000.0,81519000000.0,,,,
General And Administrative Expense,,,,,BABA,,,,,42183000000.0,31922000000.0,55224000000.0,,,,
Other Gand A,,,,,BABA,,,,,42183000000.0,31922000000.0,55224000000.0,,,,
Gross Profit,,,,,BABA,,,,,318992000000.0,313612000000.0,296084000000.0,,,,
Cost Of Revenue,,,,,BABA,,,,,549695000000.0,539450000000.0,421205000000.0,,,,
Total Revenue,,,,,BABA,,,,,868687000000.0,853062000000.0,717289000000.0,,,,
Operating Revenue,,,,,BABA,,,,,832100000000.0,816311000000.0,689238000000.0,,,,
Tax Effect Of Unusual Items,,,,,DHI,0.0,0.0,-893800.0,12019000.0,,,,,,,
Tax Rate For Calcs,,,,,DHI,0.241,0.227,0.218,0.202,,,,,,,
Normalized EBITDA,,,,,DHI,6193200000.0,7651800000.0,5405000000.0,2921200000.0,,,,,,,
Total Unusual Items,,,,,DHI,0.0,0.0,-4100000.0,59500000.0,,,,,,,
Total Unusual Items Excluding Goodwill,,,,,DHI,0.0,0.0,-4100000.0,59500000.0,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,,,,DHI,4745700000.0,5857500000.0,4175800000.0,2373700000.0,,,,,,,
Reconciled Depreciation,,,,,DHI,91600000.0,81400000.0,82100000.0,90600000.0,,,,,,,
Reconciled Cost Of Revenue,,,,,DHI,26110000000.0,22975900000.0,19899200000.0,15373200000.0,,,,,,,
EBITDA,,,,,DHI,6193200000.0,7651800000.0,5400900000.0,2980700000.0,,,,,,,
EBIT,,,,,DHI,6101600000.0,7570400000.0,5318800000.0,2890100000.0,,,,,,,
Normalized Income,,,,,DHI,4745700000.0,5857500000.0,4179006200.0,2326219000.0,,,,,,,
Net Income From Continuing And Discontinued Operation,,,,,DHI,4745700000.0,5857500000.0,4175800000.0,2373700000.0,,,,,,,
Total Expenses,,,,,DHI,29358800000.0,25909600000.0,22455400000.0,17421000000.0,,,,,,,
Diluted Average Shares,,,,,DHI,343300000.0,354800000.0,365800000.0,370200000.0,,,,,,,
Basic Average Shares,,,,,DHI,340700000.0,351700000.0,361100000.0,365500000.0,,,,,,,
Diluted EPS,,,,,DHI,13.82,16.51,11.41,6.41,,,,,,,
Basic EPS,,,,,DHI,13.93,16.65,11.56,6.49,,,,,,,
Diluted NI Availto Com Stockholders,,,,,DHI,4745700000.0,5857500000.0,4175800000.0,2373700000.0,,,,,,,
Net Income Common Stockholders,,,,,DHI,4745700000.0,5857500000.0,4175800000.0,2373700000.0,,,,,,,
Net Income,,,,,DHI,4745700000.0,5857500000.0,4175800000.0,2373700000.0,,,,,,,
Minority Interests,,,,,DHI,-49500000.0,-38100000.0,-15400000.0,-6800000.0,,,,,,,
Net Income Including Noncontrolling Interests,,,,,DHI,4795200000.0,5895600000.0,4191200000.0,2380500000.0,,,,,,,
Net Income Continuous Operations,,,,,DHI,4795200000.0,5895600000.0,4191200000.0,2380500000.0,,,,,,,
Tax Provision,,,,,DHI,1519500000.0,1734100000.0,1165100000.0,602500000.0,,,,,,,
Pretax Income,,,,,DHI,6314700000.0,7629700000.0,5356300000.0,2983000000.0,,,,,,,
Other Income Expense,,,,,DHI,213100000.0,59300000.0,37500000.0,92900000.0,,,,,,,
Other Non Operating Income Expenses,,,,,DHI,213100000.0,59300000.0,41600000.0,33400000.0,,,,,,,
Special Income Charges,,,,,DHI,0.0,0.0,-4100000.0,59500000.0,,,,,,,
Gain On Sale Of Ppe,,,,,DHI,0.0,0.0,14000000.0,59500000.0,,,,,,,
Other Special Charges,,,,,DHI,,,18100000.0,,,,,,,,
Earnings From Equity Interest,,,,,DHI,,,,700000.0,,,,,,,
Operating Income,,,,,DHI,6101600000.0,7570400000.0,5318800000.0,2890100000.0,,,,,,,
Operating Expense,,,,,DHI,3248800000.0,2933700000.0,2556200000.0,2047800000.0,,,,,,,
Selling General And Administration,,,,,DHI,3248800000.0,2933700000.0,2556200000.0,2047800000.0,,,,,,,
Gross Profit,,,,,DHI,9350400000.0,10504100000.0,7875000000.0,4937900000.0,,,,,,,
Cost Of Revenue,,,,,DHI,26110000000.0,22975900000.0,19899200000.0,15373200000.0,,,,,,,
Total Revenue,,,,,DHI,35460400000.0,33480000000.0,27774200000.0,20311100000.0,,,,,,,
Operating Revenue,,,,,DHI,35460400000.0,33480000000.0,27774200000.0,20311100000.0,,,,,,,
Tax Effect Of Unusual Items,-34060000.0,-1869630000.0,93374587.545174,242346000.0,CMCSA,,,,,,,,,,,
Tax Rate For Calcs,0.262,0.21,0.275441,0.239,CMCSA,,,,,,,,,,,
Normalized EBITDA,39031000000.0,35904000000.0,36839000000.0,30739000000.0,CMCSA,,,,,,,,,,,
Total Unusual Items,-130000000.0,-8903000000.0,339000000.0,1014000000.0,CMCSA,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-130000000.0,-8903000000.0,339000000.0,1014000000.0,CMCSA,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,15388000000.0,5370000000.0,14159000000.0,10534000000.0,CMCSA,,,,,,,,,,,
Reconciled Depreciation,14336000000.0,13821000000.0,13804000000.0,13100000000.0,CMCSA,,,,,,,,,,,
Reconciled Cost Of Revenue,36762000000.0,38213000000.0,38450000000.0,33121000000.0,CMCSA,,,,,,,,,,,
EBITDA,38901000000.0,27001000000.0,37178000000.0,31753000000.0,CMCSA,,,,,,,,,,,
EBIT,24565000000.0,13180000000.0,23374000000.0,18653000000.0,CMCSA,,,,,,,,,,,
Net Interest Income,-4087000000.0,-3896000000.0,-4281000000.0,-4588000000.0,CMCSA,,,,,,,,,,,
Interest Expense,4087000000.0,3896000000.0,4281000000.0,4588000000.0,CMCSA,,,,,,,,,,,
Normalized Income,15483940000.0,12403370000.0,13913374587.545174,9762346000.0,CMCSA,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,15388000000.0,5370000000.0,14159000000.0,10534000000.0,CMCSA,,,,,,,,,,,
Total Expenses,98259000000.0,98803000000.0,95568000000.0,86071000000.0,CMCSA,,,,,,,,,,,
Total Operating Income As Reported,23314000000.0,14041000000.0,20817000000.0,17493000000.0,CMCSA,,,,,,,,,,,
Diluted Average Shares,4148000000.0,4430000000.0,4654000000.0,4624000000.0,CMCSA,,,,,,,,,,,
Basic Average Shares,4122000000.0,4220119392.0,4584000000.0,4580656172.0,CMCSA,,,,,,,,,,,
Diluted EPS,3.71,1.21,3.04,2.28,CMCSA,,,,,,,,,,,
Basic EPS,3.73,1.272476,3.09,2.299671,CMCSA,,,,,,,,,,,
Diluted NI Availto Com Stockholders,15388000000.0,5370000000.0,14159000000.0,10534000000.0,CMCSA,,,,,,,,,,,
Net Income Common Stockholders,15388000000.0,5370000000.0,14159000000.0,10534000000.0,CMCSA,,,,,,,,,,,
Net Income,15388000000.0,5370000000.0,14159000000.0,10534000000.0,CMCSA,,,,,,,,,,,
Minority Interests,282000000.0,445000000.0,325000000.0,-167000000.0,CMCSA,,,,,,,,,,,
Net Income Including Noncontrolling Interests,15107000000.0,4925000000.0,13833000000.0,10701000000.0,CMCSA,,,,,,,,,,,
Net Income Continuous Operations,15107000000.0,4925000000.0,13834000000.0,10701000000.0,CMCSA,,,,,,,,,,,
Tax Provision,5371000000.0,4359000000.0,5259000000.0,3364000000.0,CMCSA,,,,,,,,,,,
Pretax Income,20478000000.0,9284000000.0,19093000000.0,14065000000.0,CMCSA,,,,,,,,,,,
Other Income Expense,1251000000.0,-9443000000.0,2556000000.0,1160000000.0,CMCSA,,,,,,,,,,,
Other Non Operating Income Expenses,592000000.0,-3000000.0,211000000.0,259000000.0,CMCSA,,,,,,,,,,,
Special Income Charges,0.0,-8583000000.0,0.0,,CMCSA,,,,,,,,,,,
Impairment Of Capital Assets,0.0,8583000000.0,0.0,,CMCSA,,,,,,,,,,,
Earnings From Equity Interest,789000000.0,-537000000.0,2006000000.0,-113000000.0,CMCSA,,,,,,,,,,,
Gain On Sale Of Security,-130000000.0,-320000000.0,339000000.0,1014000000.0,CMCSA,,,,,,,,,,,
Net Non Operating Interest Income Expense,-4087000000.0,-3896000000.0,-4281000000.0,-4588000000.0,CMCSA,,,,,,,,,,,
Interest Expense Non Operating,4087000000.0,3896000000.0,4281000000.0,4588000000.0,CMCSA,,,,,,,,,,,
Operating Income,23313000000.0,22624000000.0,20817000000.0,17493000000.0,CMCSA,,,,,,,,,,,
Operating Expense,61497000000.0,60590000000.0,57118000000.0,52950000000.0,CMCSA,,,,,,,,,,,
Other Operating Expenses,,38263000000.0,35619000000.0,33109000000.0,CMCSA,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,14336000000.0,13821000000.0,13804000000.0,13100000000.0,CMCSA,,,,,,,,,,,
Depreciation And Amortization In Income Statement,14336000000.0,13821000000.0,13804000000.0,13100000000.0,CMCSA,,,,,,,,,,,
Amortization,5482000000.0,5097000000.0,5176000000.0,4780000000.0,CMCSA,,,,,,,,,,,
Amortization Of Intangibles Income Statement,5482000000.0,5097000000.0,5176000000.0,4780000000.0,CMCSA,,,,,,,,,,,
Depreciation Income Statement,8854000000.0,8724000000.0,8628000000.0,8320000000.0,CMCSA,,,,,,,,,,,
Selling General And Administration,47161000000.0,46769000000.0,43314000000.0,39850000000.0,CMCSA,,,,,,,,,,,
Selling And Marketing Expense,7971000000.0,8506000000.0,7695000000.0,6741000000.0,CMCSA,,,,,,,,,,,
General And Administrative Expense,39190000000.0,38263000000.0,35619000000.0,33109000000.0,CMCSA,,,,,,,,,,,
Other Gand A,39190000000.0,38263000000.0,35619000000.0,33109000000.0,CMCSA,,,,,,,,,,,
Gross Profit,84810000000.0,83214000000.0,77935000000.0,70443000000.0,CMCSA,,,,,,,,,,,
Cost Of Revenue,36762000000.0,38213000000.0,38450000000.0,33121000000.0,CMCSA,,,,,,,,,,,
Total Revenue,121572000000.0,121427000000.0,116385000000.0,103564000000.0,CMCSA,,,,,,,,,,,
Operating Revenue,121572000000.0,121427000000.0,116385000000.0,103564000000.0,CMCSA,,,,,,,,,,,
Tax Effect Of Unusual Items,-209335104.812518,-30666666.666667,-159555729.370356,-221360462.480163,UAL,,,,,,,,,,,
Tax Rate For Calcs,0.227045,0.255556,0.231912,0.198708,UAL,,,,,,,,,,,
Normalized EBITDA,8754000000.0,5239000000.0,2193000000.0,-4228000000.0,UAL,,,,,,,,,,,
Total Unusual Items,-922000000.0,-120000000.0,-688000000.0,-1114000000.0,UAL,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-922000000.0,-120000000.0,-688000000.0,-1114000000.0,UAL,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,UAL,,,,,,,,,,,
Reconciled Depreciation,2671000000.0,2456000000.0,2485000000.0,2488000000.0,UAL,,,,,,,,,,,
Reconciled Cost Of Revenue,38518000000.0,34315000000.0,23913000000.0,20385000000.0,UAL,,,,,,,,,,,
EBITDA,7832000000.0,5119000000.0,1505000000.0,-5342000000.0,UAL,,,,,,,,,,,
EBIT,5161000000.0,2663000000.0,-980000000.0,-7830000000.0,UAL,,,,,,,,,,,
Net Interest Income,-947000000.0,-1375000000.0,-1541000000.0,-942000000.0,UAL,,,,,,,,,,,
Interest Expense,1774000000.0,1673000000.0,1577000000.0,992000000.0,UAL,,,,,,,,,,,
Interest Income,827000000.0,298000000.0,36000000.0,50000000.0,UAL,,,,,,,,,,,
Normalized Income,3330664895.187482,826333333.333333,-1435555729.370356,-6176360462.480163,UAL,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,UAL,,,,,,,,,,,
Total Expenses,48557000000.0,42478000000.0,25002000000.0,20794000000.0,UAL,,,,,,,,,,,
Rent Expense Supplemental,3273000000.0,2828000000.0,2644000000.0,2325000000.0,UAL,,,,,,,,,,,
Total Operating Income As Reported,4211000000.0,2337000000.0,-1022000000.0,-6359000000.0,UAL,,,,,,,,,,,
Diluted Average Shares,331900000.0,330100000.0,323810825.0,311845232.0,UAL,,,,,,,,,,,
Basic Average Shares,327800000.0,326930321.0,323810825.0,311845232.0,UAL,,,,,,,,,,,
Diluted EPS,7.98,2.23,-6.1,-25.3,UAL,,,,,,,,,,,
Basic EPS,7.98,2.254303,-6.06527,-22.668296,UAL,,,,,,,,,,,
Diluted NI Availto Com Stockholders,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,UAL,,,,,,,,,,,
Net Income Common Stockholders,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,UAL,,,,,,,,,,,
Net Income,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,UAL,,,,,,,,,,,
Net Income Including Noncontrolling Interests,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,UAL,,,,,,,,,,,
Net Income Continuous Operations,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,UAL,,,,,,,,,,,
Tax Provision,769000000.0,253000000.0,-593000000.0,-1753000000.0,UAL,,,,,,,,,,,
Pretax Income,3387000000.0,990000000.0,-2557000000.0,-8822000000.0,UAL,,,,,,,,,,,
Other Income Expense,-826000000.0,-112000000.0,-648000000.0,-2441000000.0,UAL,,,,,,,,,,,
Other Non Operating Income Expenses,96000000.0,8000000.0,40000000.0,-1327000000.0,UAL,,,,,,,,,,,
Special Income Charges,-949000000.0,-140000000.0,-654000000.0,-920000000.0,UAL,,,,,,,,,,,
Gain On Sale Of Ppe,-135000000.0,-140000000.0,-119000000.0,-27000000.0,UAL,,,,,,,,,,,
Other Special Charges,,,,575000000.0,UAL,,,,,,,,,,,
Impairment Of Capital Assets,0.0,0.0,97000000.0,318000000.0,UAL,,,,,,,,,,,
Restructuring And Mergern Acquisition,814000000.0,0.0,438000000.0,575000000.0,UAL,,,,,,,,,,,
Gain On Sale Of Security,27000000.0,20000000.0,-34000000.0,-194000000.0,UAL,,,,,,,,,,,
Net Non Operating Interest Income Expense,-947000000.0,-1375000000.0,-1541000000.0,-942000000.0,UAL,,,,,,,,,,,
Interest Expense Non Operating,1774000000.0,1673000000.0,1577000000.0,992000000.0,UAL,,,,,,,,,,,
Interest Income Non Operating,827000000.0,298000000.0,36000000.0,50000000.0,UAL,,,,,,,,,,,
Operating Income,5160000000.0,2477000000.0,-368000000.0,-5439000000.0,UAL,,,,,,,,,,,
Operating Expense,10039000000.0,8163000000.0,1089000000.0,409000000.0,UAL,,,,,,,,,,,
Other Operating Expenses,8062000000.0,6628000000.0,412000000.0,-50000000.0,UAL,,,,,,,,,,,
Selling General And Administration,1977000000.0,1535000000.0,677000000.0,459000000.0,UAL,,,,,,,,,,,
Selling And Marketing Expense,1977000000.0,1535000000.0,677000000.0,459000000.0,UAL,,,,,,,,,,,
Gross Profit,15199000000.0,10640000000.0,721000000.0,-5030000000.0,UAL,,,,,,,,,,,
Cost Of Revenue,38518000000.0,34315000000.0,23913000000.0,20385000000.0,UAL,,,,,,,,,,,
Total Revenue,53717000000.0,44955000000.0,24634000000.0,15355000000.0,UAL,,,,,,,,,,,
Operating Revenue,50541000000.0,42203000000.0,22546000000.0,13453000000.0,UAL,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,EDU,,,,,,,,-1744952.157158,-50472000.0,-19184183.35307,-13673432.4
Tax Rate For Calcs,,,,,EDU,,,,,,,,0.214131,0.25,0.265378,0.2746
Normalized EBITDA,,,,,EDU,,,,,,,,440090000.0,-632131000.0,624457000.0,693259000.0
Total Unusual Items,,,,,EDU,,,,,,,,-8149000.0,-201888000.0,-72290000.0,-49794000.0
Total Unusual Items Excluding Goodwill,,,,,EDU,,,,,,,,-8149000.0,-201888000.0,-72290000.0,-49794000.0
Net Income From Continuing Operation Net Minority Interest,,,,,EDU,,,,,,,,177341000.0,-1187721000.0,334414000.0,413333000.0
Reconciled Depreciation,,,,,EDU,,,,,,,,122703000.0,194429000.0,230443000.0,151002000.0
Reconciled Cost Of Revenue,,,,,EDU,,,,,,,,1409438000.0,1754291000.0,2036875000.0,1588899000.0
EBITDA,,,,,EDU,,,,,,,,431941000.0,-834019000.0,552167000.0,643465000.0
EBIT,,,,,EDU,,,,,,,,309238000.0,-1028448000.0,321724000.0,492463000.0
Net Interest Income,,,,,EDU,,,,,,,,113746000.0,119492000.0,134764000.0,111490000.0
Interest Expense,,,,,EDU,,,,,,,,707000.0,4050000.0,6747000.0,4627000.0
Interest Income,,,,,EDU,,,,,,,,114453000.0,123542000.0,141511000.0,116117000.0
Normalized Income,,,,,EDU,,,,,,,,183745047.842842,-1036305000.0,387519816.64693,449453567.6
Net Income From Continuing And Discontinued Operation,,,,,EDU,,,,,,,,177341000.0,-1187721000.0,334414000.0,413333000.0
Total Expenses,,,,,EDU,,,,,,,,2807714000.0,4087759000.0,4127479000.0,3179679000.0
Total Operating Income As Reported,,,,,EDU,,,,,,,,190046000.0,-982513000.0,117266000.0,399003000.0
Diluted Average Shares,,,,,EDU,,,,,,,,168563199.0,169641923.0,165198238.0,159536890.0
Basic Average Shares,,,,,EDU,,,,,,,,167826455.0,169641923.0,164546344.0,158429576.0
Diluted EPS,,,,,EDU,,,,,,,,1.0,-7.0,2.0,2.59
Basic EPS,,,,,EDU,,,,,,,,1.1,-7.0,2.0,2.61
Diluted NI Availto Com Stockholders,,,,,EDU,,,,,,,,177341000.0,-1187721000.0,334414000.0,413333000.0
Net Income Common Stockholders,,,,,EDU,,,,,,,,177341000.0,-1187721000.0,334414000.0,413333000.0
Net Income,,,,,EDU,,,,,,,,177341000.0,-1187721000.0,334414000.0,413333000.0
Minority Interests,,,,,EDU,,,,,,,,-58022000.0,32555000.0,104393000.0,58474000.0
Net Income Including Noncontrolling Interests,,,,,EDU,,,,,,,,235363000.0,-1220276000.0,230021000.0,354859000.0
Net Income Continuous Operations,,,,,EDU,,,,,,,,235363000.0,-1220276000.0,230021000.0,354859000.0
Earnings From Equity Interest Net Of Tax,,,,,EDU,,,,,,,,-7102000.0,-51466000.0,-1368000.0,1385000.0
Tax Provision,,,,,EDU,,,,,,,,66066000.0,136312000.0,83588000.0,134362000.0
Pretax Income,,,,,EDU,,,,,,,,308531000.0,-1032498000.0,314977000.0,487836000.0
Other Income Expense,,,,,EDU,,,,,,,,4739000.0,-169477000.0,31153000.0,-22657000.0
Other Non Operating Income Expenses,,,,,EDU,,,,,,,,12888000.0,32411000.0,103443000.0,27137000.0
Special Income Charges,,,,,EDU,,,,,,,,-8056000.0,-208959000.0,-72001000.0,-31750000.0
Gain On Sale Of Business,,,,,EDU,,,,,,,,0.0,-79609000.0,0.0,0.0
Write Off,,,,,EDU,,,,,,,,8056000.0,129350000.0,40207000.0,31750000.0
Impairment Of Capital Assets,,,,,EDU,,,,,,,,0.0,0.0,31794000.0,0.0
Gain On Sale Of Security,,,,,EDU,,,,,,,,-93000.0,7071000.0,-289000.0,-18044000.0
Net Non Operating Interest Income Expense,,,,,EDU,,,,,,,,113746000.0,119492000.0,134764000.0,111490000.0
Interest Expense Non Operating,,,,,EDU,,,,,,,,707000.0,4050000.0,6747000.0,4627000.0
Interest Income Non Operating,,,,,EDU,,,,,,,,114453000.0,123542000.0,141511000.0,116117000.0
Operating Income,,,,,EDU,,,,,,,,190046000.0,-982513000.0,149060000.0,399003000.0
Operating Expense,,,,,EDU,,,,,,,,1398276000.0,2333468000.0,2090604000.0,1590780000.0
Selling General And Administration,,,,,EDU,,,,,,,,1398276000.0,2333468000.0,2090604000.0,1590780000.0
Selling And Marketing Expense,,,,,EDU,,,,,,,,444693000.0,466895000.0,600778000.0,445259000.0
General And Administrative Expense,,,,,EDU,,,,,,,,953583000.0,1866573000.0,1489826000.0,1145521000.0
Other Gand A,,,,,EDU,,,,,,,,953583000.0,1866573000.0,1489826000.0,1145521000.0
Gross Profit,,,,,EDU,,,,,,,,1588322000.0,1350955000.0,2239664000.0,1989783000.0
Cost Of Revenue,,,,,EDU,,,,,,,,1409438000.0,1754291000.0,2036875000.0,1588899000.0
Total Revenue,,,,,EDU,,,,,,,,2997760000.0,3105246000.0,4276539000.0,3578682000.0
Operating Revenue,,,,,EDU,,,,,,,,2997760000.0,3105246000.0,4276539000.0,3578682000.0
Tax Effect Of Unusual Items,-1883419677.171407,12297459693.185871,11322773661.423353,5446359161.65802,TCEHY,,,,,,,,,,,
Tax Rate For Calcs,0.268255,0.102347,0.081641,0.110525,TCEHY,,,,,,,,,,,
