metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00
Otherunder Preferred Stock Dividend,,122000000.0,141000000.0,-90000000.0,128000000.0,BABA,,,,,
Net Income,,14555000000.0,27847000000.0,34242000000.0,23644000000.0,BABA,,,,,
Minority Interests,,3838000000.0,1151000000.0,1242000000.0,1648000000.0,BABA,,,,,
Net Income Including Noncontrolling Interests,,10717000000.0,26696000000.0,33000000000.0,21996000000.0,BABA,,,,,
Net Income Continuous Operations,,10717000000.0,26696000000.0,33000000000.0,21996000000.0,BABA,,,,,
Earnings From Equity Interest Net Of Tax,,-1613000000.0,-5764000000.0,2850000000.0,446000000.0,BABA,,,,,
Tax Provision,,4988000000.0,5797000000.0,6022000000.0,3758000000.0,BABA,,,,,
Pretax Income,,17318000000.0,38257000000.0,36172000000.0,25308000000.0,BABA,,,,,
Other Income Expense,,-8051000000.0,1391000000.0,-667000000.0,1308000000.0,BABA,,,,,
Other Non Operating Income Expenses,,439000000.0,1391000000.0,1364000000.0,1308000000.0,BABA,,,,,
Special Income Charges,,-8490000000.0,0.0,-2031000000.0,0.0,BABA,,,,,
Impairment Of Capital Assets,,8490000000.0,0.0,2031000000.0,0.0,BABA,,,,,
Net Non Operating Interest Income Expense,,-5632000000.0,3282000000.0,-7682000000.0,8760000000.0,BABA,,,,,
Interest Expense Non Operating,,5632000000.0,1854000000.0,7682000000.0,-8760000000.0,BABA,,,,,
Interest Income Non Operating,,,5136000000.0,,,BABA,,,,,
Operating Income,,31001000000.0,33584000000.0,44521000000.0,15240000000.0,BABA,,,,,
Operating Expense,,73133000000.0,51542000000.0,47288000000.0,54137000000.0,BABA,,,,,
Depreciation Amortization Depletion Income Statement,,14601000000.0,2431000000.0,2479000000.0,2494000000.0,BABA,,,,,
Depreciation And Amortization In Income Statement,,14601000000.0,2431000000.0,2479000000.0,2494000000.0,BABA,,,,,
Amortization,,14601000000.0,2431000000.0,2479000000.0,2494000000.0,BABA,,,,,
Amortization Of Intangibles Income Statement,,14601000000.0,2431000000.0,2479000000.0,2494000000.0,BABA,,,,,
Research And Development,,13488000000.0,14218000000.0,10465000000.0,13880000000.0,BABA,,,,,
Selling General And Administration,,45044000000.0,34893000000.0,34344000000.0,37763000000.0,BABA,,,,,
Selling And Marketing Expense,,33783000000.0,25485000000.0,27047000000.0,24931000000.0,BABA,,,,,
General And Administrative Expense,,11261000000.0,9408000000.0,7297000000.0,12832000000.0,BABA,,,,,
Other Gand A,,11261000000.0,9408000000.0,7297000000.0,12832000000.0,BABA,,,,,
Gross Profit,,104134000000.0,85126000000.0,91809000000.0,69377000000.0,BABA,,,,,
Cost Of Revenue,,156214000000.0,139664000000.0,142347000000.0,138823000000.0,BABA,,,,,
Total Revenue,,260348000000.0,224790000000.0,234156000000.0,208200000000.0,BABA,,,,,
Operating Revenue,,260348000000.0,224790000000.0,234156000000.0,171613000000.0,BABA,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,DHI,,,,,
Tax Rate For Calcs,0.226,0.234,0.244166,0.242,0.237,DHI,,,,,
Normalized EBITDA,1473400000.0,1191200000.0,1958500000.0,1755400000.0,1229800000.0,DHI,,,,,
Net Income From Continuing Operation Net Minority Interest,1172100000.0,947400000.0,1509700000.0,1335100000.0,942200000.0,DHI,,,,,
Reconciled Depreciation,21100000.0,20000000.0,21400000.0,23700000.0,26700000.0,DHI,,,,,
Reconciled Cost Of Revenue,6774300000.0,5719800000.0,7680700000.0,7141800000.0,5996200000.0,DHI,,,,,
EBITDA,1473400000.0,1191200000.0,1958500000.0,1755400000.0,1229800000.0,DHI,,,,,
EBIT,1452300000.0,1171200000.0,1937100000.0,1731700000.0,1203100000.0,DHI,,,,,
Normalized Income,1172100000.0,947400000.0,1509700000.0,1335100000.0,942200000.0,DHI,,,,,
Net Income From Continuing And Discontinued Operation,1172100000.0,947400000.0,1509700000.0,1335100000.0,942200000.0,DHI,,,,,
Total Expenses,7654900000.0,6554800000.0,8566900000.0,7993900000.0,6769800000.0,DHI,,,,,
Diluted Average Shares,333300000.0,335700000.0,339300000.0,342300000.0,344900000.0,DHI,,,,,
Basic Average Shares,330900000.0,333300000.0,336600000.0,339900000.0,342100000.0,DHI,,,,,
Diluted EPS,3.52,2.82,4.45,3.9,2.73,DHI,,,,,
Basic EPS,3.54,2.84,4.49,3.93,2.75,DHI,,,,,
Diluted NI Availto Com Stockholders,1172100000.0,947400000.0,1509700000.0,1335100000.0,942200000.0,DHI,,,,,
Net Income Common Stockholders,1172100000.0,947400000.0,1509700000.0,1335100000.0,942200000.0,DHI,,,,,
Net Income,1172100000.0,947400000.0,1509700000.0,1335100000.0,942200000.0,DHI,,,,,
Minority Interests,-11600000.0,-8300000.0,-15800000.0,-16600000.0,-7400000.0,DHI,,,,,
Net Income Including Noncontrolling Interests,1183700000.0,955700000.0,1525500000.0,1351700000.0,949600000.0,DHI,,,,,
Net Income Continuous Operations,1183700000.0,955700000.0,1525500000.0,1351700000.0,949600000.0,DHI,,,,,
Tax Provision,344800000.0,291800000.0,492800000.0,432200000.0,295700000.0,DHI,,,,,
Pretax Income,1528500000.0,1247500000.0,2018300000.0,1783900000.0,1245300000.0,DHI,,,,,
Other Income Expense,76200000.0,76300000.0,81200000.0,52200000.0,42200000.0,DHI,,,,,
Other Non Operating Income Expenses,76200000.0,76300000.0,81200000.0,52200000.0,42200000.0,DHI,,,,,
Operating Income,1452300000.0,1171200000.0,1937100000.0,1731700000.0,1203100000.0,DHI,,,,,
Operating Expense,880600000.0,835000000.0,886200000.0,852100000.0,773600000.0,DHI,,,,,
Selling General And Administration,880600000.0,835000000.0,886200000.0,852100000.0,773600000.0,DHI,,,,,
Gross Profit,2332900000.0,2006200000.0,2823300000.0,2583800000.0,1976700000.0,DHI,,,,,
Cost Of Revenue,6774300000.0,5719800000.0,7680700000.0,7141800000.0,5996200000.0,DHI,,,,,
Total Revenue,9107200000.0,7726000000.0,10504000000.0,9725600000.0,7972900000.0,DHI,,,,,
Operating Revenue,9107200000.0,7726000000.0,10504000000.0,9725600000.0,7972900000.0,DHI,,,,,
Tax Effect Of Unusual Items,-13266993.143976,0.0,-23369807.868253,-10200139.713587,-1689109.288575,CMCSA,,,,,
Tax Rate For Calcs,0.260137,0.220079,0.268618,0.268425,0.281518,CMCSA,,,,,
Normalized EBITDA,9709000000.0,8592000000.0,10105000000.0,10300000000.0,10036000000.0,CMCSA,,,,,
Total Unusual Items,-51000000.0,0.0,-87000000.0,-38000000.0,-6000000.0,CMCSA,,,,,
Total Unusual Items Excluding Goodwill,-51000000.0,0.0,-87000000.0,-38000000.0,-6000000.0,CMCSA,,,,,
Net Income From Continuing Operation Net Minority Interest,3857000000.0,3260000000.0,4046000000.0,4248000000.0,3834000000.0,CMCSA,,,,,
Reconciled Depreciation,3551000000.0,3529000000.0,3492000000.0,3538000000.0,3777000000.0,CMCSA,,,,,
Reconciled Cost Of Revenue,8823000000.0,10255000000.0,8654000000.0,8849000000.0,9004000000.0,CMCSA,,,,,
EBITDA,9658000000.0,8592000000.0,10018000000.0,10262000000.0,10030000000.0,CMCSA,,,,,
EBIT,6107000000.0,5063000000.0,6525000000.0,6724000000.0,6253000000.0,CMCSA,,,,,
Net Interest Income,-1002000000.0,-1019000000.0,-1060000000.0,-998000000.0,-1010000000.0,CMCSA,,,,,
Interest Expense,1002000000.0,1019000000.0,1060000000.0,998000000.0,1010000000.0,CMCSA,,,,,
Normalized Income,3894733006.856024,3260000000.0,4109630192.131747,4275799860.286413,3838310890.711425,CMCSA,,,,,
Net Income From Continuing And Discontinued Operation,3857000000.0,3260000000.0,4046000000.0,4248000000.0,3834000000.0,CMCSA,,,,,
Total Expenses,24249000000.0,26769000000.0,23641000000.0,23804000000.0,24045000000.0,CMCSA,,,,,
Total Operating Income As Reported,5810000000.0,4484000000.0,6475000000.0,6709000000.0,5646000000.0,CMCSA,,,,,
Diluted Average Shares,3992000000.0,4039000000.0,4141000000.0,4183000000.0,4227000000.0,CMCSA,,,,,
Basic Average Shares,3959000000.0,3978762306.0,4109000000.0,4165000000.0,4208000000.0,CMCSA,,,,,
Diluted EPS,0.97,0.81,0.98,1.02,0.91,CMCSA,,,,,
Basic EPS,0.97,0.81935,0.98,1.02,0.91,CMCSA,,,,,
Diluted NI Availto Com Stockholders,3857000000.0,3260000000.0,4046000000.0,4248000000.0,3834000000.0,CMCSA,,,,,
Net Income Common Stockholders,3857000000.0,3260000000.0,4046000000.0,4248000000.0,3834000000.0,CMCSA,,,,,
Net Income,3857000000.0,3260000000.0,4046000000.0,4248000000.0,3834000000.0,CMCSA,,,,,
Minority Interests,79000000.0,107000000.0,49000000.0,59000000.0,67000000.0,CMCSA,,,,,
Net Income Including Noncontrolling Interests,3777000000.0,3153000000.0,3997000000.0,4189000000.0,3767000000.0,CMCSA,,,,,
Net Income Continuous Operations,3777000000.0,3154000000.0,3997000000.0,4189000000.0,3767000000.0,CMCSA,,,,,
Tax Provision,1328000000.0,890000000.0,1468000000.0,1537000000.0,1476000000.0,CMCSA,,,,,
Pretax Income,5105000000.0,4044000000.0,5465000000.0,5726000000.0,5243000000.0,CMCSA,,,,,
Other Income Expense,298000000.0,578000000.0,50000000.0,15000000.0,607000000.0,CMCSA,,,,,
Other Non Operating Income Expenses,191000000.0,243000000.0,88000000.0,133000000.0,128000000.0,CMCSA,,,,,
Special Income Charges,,0.0,0.0,,,CMCSA,,,,,
Impairment Of Capital Assets,,0.0,0.0,,,CMCSA,,,,,
Earnings From Equity Interest,158000000.0,335000000.0,49000000.0,-80000000.0,485000000.0,CMCSA,,,,,
Gain On Sale Of Security,-51000000.0,0.0,-87000000.0,-38000000.0,-6000000.0,CMCSA,,,,,
Net Non Operating Interest Income Expense,-1002000000.0,-1019000000.0,-1060000000.0,-998000000.0,-1010000000.0,CMCSA,,,,,
Interest Expense Non Operating,1002000000.0,1019000000.0,1060000000.0,998000000.0,1010000000.0,CMCSA,,,,,
Operating Income,5809000000.0,4484000000.0,6474000000.0,6709000000.0,5647000000.0,CMCSA,,,,,
Operating Expense,15426000000.0,16513000000.0,14988000000.0,14955000000.0,15041000000.0,CMCSA,,,,,
Other Operating Expenses,,,,9317000000.0,9301000000.0,CMCSA,,,,,
Depreciation Amortization Depletion Income Statement,3551000000.0,3528000000.0,3493000000.0,3538000000.0,3777000000.0,CMCSA,,,,,
Depreciation And Amortization In Income Statement,3551000000.0,3528000000.0,3493000000.0,3538000000.0,3777000000.0,CMCSA,,,,,
Amortization,1376000000.0,1336000000.0,1290000000.0,1343000000.0,1513000000.0,CMCSA,,,,,
Amortization Of Intangibles Income Statement,1376000000.0,1336000000.0,1290000000.0,1343000000.0,1513000000.0,CMCSA,,,,,
Depreciation Income Statement,2175000000.0,2192000000.0,2203000000.0,2195000000.0,2264000000.0,CMCSA,,,,,
Selling General And Administration,11875000000.0,12985000000.0,11495000000.0,11417000000.0,11264000000.0,CMCSA,,,,,
Selling And Marketing Expense,2018000000.0,2042000000.0,1866000000.0,2100000000.0,1963000000.0,CMCSA,,,,,
General And Administrative Expense,9857000000.0,10943000000.0,9629000000.0,9317000000.0,9301000000.0,CMCSA,,,,,
Other Gand A,9857000000.0,10943000000.0,9629000000.0,9317000000.0,9301000000.0,CMCSA,,,,,
Gross Profit,21235000000.0,20997000000.0,21462000000.0,21664000000.0,20688000000.0,CMCSA,,,,,
Cost Of Revenue,8823000000.0,10256000000.0,8653000000.0,8849000000.0,9004000000.0,CMCSA,,,,,
Total Revenue,30058000000.0,31253000000.0,30115000000.0,30513000000.0,29692000000.0,CMCSA,,,,,
Operating Revenue,32147000000.0,31253000000.0,30115000000.0,30513000000.0,31936000000.0,CMCSA,,,,,
Tax Effect Of Unusual Items,-12200000.0,-16358907.672302,-19437415.881561,-174375000.0,2420000.0,UAL,,,,,
Tax Rate For Calcs,0.244,0.221066,0.234186,0.225,0.242,UAL,,,,,
Normalized EBITDA,279000000.0,1273000000.0,2014000000.0,2613000000.0,182000000.0,UAL,,,,,
Total Unusual Items,-50000000.0,-74000000.0,-83000000.0,-775000000.0,10000000.0,UAL,,,,,
Total Unusual Items Excluding Goodwill,-50000000.0,-74000000.0,-83000000.0,-775000000.0,10000000.0,UAL,,,,,
Net Income From Continuing Operation Net Minority Interest,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,UAL,,,,,
Reconciled Cost Of Revenue,9799000000.0,9937000000.0,10042000000.0,9298000000.0,9241000000.0,UAL,,,,,
EBITDA,229000000.0,1199000000.0,1931000000.0,1838000000.0,192000000.0,UAL,,,,,
EBIT,229000000.0,1199000000.0,1931000000.0,1838000000.0,192000000.0,UAL,,,,,
Net Interest Income,-216000000.0,-223000000.0,-211000000.0,-235000000.0,-278000000.0,UAL,,,,,
Interest Expense,393000000.0,430000000.0,445000000.0,451000000.0,448000000.0,UAL,,,,,
Interest Income,177000000.0,207000000.0,234000000.0,216000000.0,170000000.0,UAL,,,,,
Normalized Income,-86200000.0,656641092.327698,1201562584.118439,1675625000.0,-201580000.0,UAL,,,,,
Net Income From Continuing And Discontinued Operation,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,UAL,,,,,
Total Expenses,12427000000.0,12582000000.0,12716000000.0,11802000000.0,11458000000.0,UAL,,,,,
Rent Expense Supplemental,847000000.0,839000000.0,847000000.0,814000000.0,773000000.0,UAL,,,,,
Total Operating Income As Reported,99000000.0,997000000.0,1739000000.0,1517000000.0,-43000000.0,UAL,,,,,
Diluted Average Shares,328300000.0,331300000.0,332400000.0,331500000.0,327400000.0,UAL,,,,,
Basic Average Shares,328300000.0,328018739.0,328000000.0,328000000.0,327400000.0,UAL,,,,,
Diluted EPS,-0.38,1.81,3.42,3.24,-0.59,UAL,,,,,
Basic EPS,-0.38,1.829164,3.47,3.28,-0.59,UAL,,,,,
Diluted NI Availto Com Stockholders,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,UAL,,,,,
Net Income Common Stockholders,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,UAL,,,,,
Net Income,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,UAL,,,,,
Net Income Including Noncontrolling Interests,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,UAL,,,,,
Net Income Continuous Operations,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,UAL,,,,,
Tax Provision,-40000000.0,170000000.0,348000000.0,312000000.0,-62000000.0,UAL,,,,,
Pretax Income,-164000000.0,769000000.0,1486000000.0,1387000000.0,-256000000.0,UAL,,,,,
Other Income Expense,-60000000.0,-52000000.0,-71000000.0,-754000000.0,51000000.0,UAL,,,,,
Other Non Operating Income Expenses,-10000000.0,22000000.0,12000000.0,21000000.0,41000000.0,UAL,,,,,
Special Income Charges,-13000000.0,-47000000.0,-29000000.0,-859000000.0,-14000000.0,UAL,,,,,
Gain On Sale Of Ppe,-13000000.0,-47000000.0,-28000000.0,-46000000.0,-14000000.0,UAL,,,,,
Other Special Charges,,,,,14000000.0,UAL,,,,,
Restructuring And Mergern Acquisition,,0.0,1000000.0,813000000.0,,UAL,,,,,
Gain On Sale Of Security,-37000000.0,-27000000.0,-54000000.0,84000000.0,24000000.0,UAL,,,,,
Net Non Operating Interest Income Expense,-216000000.0,-223000000.0,-211000000.0,-235000000.0,-278000000.0,UAL,,,,,
Interest Expense Non Operating,393000000.0,430000000.0,445000000.0,451000000.0,448000000.0,UAL,,,,,
Interest Income Non Operating,177000000.0,207000000.0,234000000.0,216000000.0,170000000.0,UAL,,,,,
Operating Income,112000000.0,1044000000.0,1768000000.0,2376000000.0,-29000000.0,UAL,,,,,
Operating Expense,2628000000.0,2645000000.0,2674000000.0,2504000000.0,2217000000.0,UAL,,,,,
Other Operating Expenses,2148000000.0,2074000000.0,2158000000.0,2017000000.0,1814000000.0,UAL,,,,,
Selling General And Administration,480000000.0,571000000.0,516000000.0,487000000.0,403000000.0,UAL,,,,,
Selling And Marketing Expense,480000000.0,571000000.0,516000000.0,487000000.0,403000000.0,UAL,,,,,
Gross Profit,2740000000.0,3689000000.0,4442000000.0,4880000000.0,2188000000.0,UAL,,,,,
Cost Of Revenue,9799000000.0,9937000000.0,10042000000.0,9298000000.0,9241000000.0,UAL,,,,,
Total Revenue,12539000000.0,13626000000.0,14484000000.0,14178000000.0,11429000000.0,UAL,,,,,
Operating Revenue,11704000000.0,12823000000.0,13682000000.0,13364000000.0,10672000000.0,UAL,,,,,
Tax Effect Of Unusual Items,,,,,,EDU,383302.242486,-27623.272127,1834145.851882,-4020037.695927,1267478.747052
Tax Rate For Calcs,,,,,,EDU,0.248092,0.153463,0.253055,0.270637,0.187719
Normalized EBITDA,,,,,,EDU,111887000.0,21522000.0,197876000.0,182100000.0,59739000.0
Total Unusual Items,,,,,,EDU,1545000.0,-180000.0,7248000.0,-14854000.0,6752000.0
Total Unusual Items Excluding Goodwill,,,,,,EDU,1545000.0,-180000.0,7248000.0,-14854000.0,6752000.0
Net Income From Continuing Operation Net Minority Interest,,,,,,EDU,87167000.0,30066000.0,165386000.0,28959000.0,81648000.0
Reconciled Cost Of Revenue,,,,,,EDU,644786000.0,422558000.0,441218000.0,391615000.0,369560000.0
EBITDA,,,,,,EDU,113432000.0,21342000.0,205124000.0,167246000.0,66491000.0
EBIT,,,,,,EDU,113432000.0,21342000.0,205124000.0,167246000.0,66491000.0
Normalized Income,,,,,,EDU,86005302.242486,30218376.727873,159972145.851882,39792962.304073,76163478.747052
Net Income From Continuing And Discontinued Operation,,,,,,EDU,87167000.0,30066000.0,165386000.0,28959000.0,81648000.0
Total Expenses,,,,,,EDU,1093854000.0,848258000.0,894897000.0,812517000.0,687662000.0
Total Operating Income As Reported,,,,,,EDU,113432000.0,21342000.0,205124000.0,48054000.0,66491000.0
Diluted Average Shares,,,,,,EDU,167172736.0,166969205.0,166531869.0,144795000.0,168141423.0
Basic Average Shares,,,,,,EDU,165498220.0,165506935.0,165120388.0,144795000.0,166988709.0
Diluted EPS,,,,,,EDU,0.5,0.2,1.0,0.2,0.5
Basic EPS,,,,,,EDU,0.5,0.2,1.0,0.2,0.5
Diluted NI Availto Com Stockholders,,,,,,EDU,87167000.0,30066000.0,165386000.0,28959000.0,81648000.0
Net Income Common Stockholders,,,,,,EDU,87167000.0,30066000.0,165386000.0,28959000.0,81648000.0
Net Income,,,,,,EDU,87167000.0,30066000.0,165386000.0,28959000.0,81648000.0
Minority Interests,,,,,,EDU,1377000.0,-4666000.0,-10688000.0,-10957000.0,-12632000.0
Net Income Including Noncontrolling Interests,,,,,,EDU,85790000.0,34732000.0,176074000.0,39916000.0,94280000.0
Net Income Continuous Operations,,,,,,EDU,85790000.0,34732000.0,176074000.0,39916000.0,94280000.0
Earnings From Equity Interest Net Of Tax,,,,,,EDU,-13325000.0,-14506000.0,-8496000.0,-12480000.0,10598000.0
Tax Provision,,,,,,EDU,32703000.0,8926000.0,62530000.0,19442000.0,19339000.0
Pretax Income,,,,,,EDU,131818000.0,58164000.0,247100000.0,71838000.0,103021000.0
Other Income Expense,,,,,,EDU,18386000.0,36822000.0,41976000.0,-89962000.0,36530000.0
Other Non Operating Income Expenses,,,,,,EDU,16841000.0,37002000.0,34728000.0,-75108000.0,29778000.0
Gain On Sale Of Security,,,,,,EDU,1545000.0,-180000.0,7248000.0,-6798000.0,6752000.0
Operating Income,,,,,,EDU,113432000.0,21342000.0,205124000.0,48054000.0,66491000.0
Operating Expense,,,,,,EDU,449068000.0,425700000.0,453679000.0,420902000.0,318102000.0
Selling General And Administration,,,,,,EDU,449068000.0,425700000.0,453679000.0,420902000.0,318102000.0
Selling And Marketing Expense,,,,,,EDU,161259000.0,154965000.0,136121000.0,-235781000.0,102631000.0
General And Administrative Expense,,,,,,EDU,287809000.0,270735000.0,317558000.0,656683000.0,215471000.0
Other Gand A,,,,,,EDU,287809000.0,270735000.0,317558000.0,656683000.0,215471000.0
Gross Profit,,,,,,EDU,562500000.0,447042000.0,658803000.0,468956000.0,384593000.0
Cost Of Revenue,,,,,,EDU,644786000.0,422558000.0,441218000.0,391615000.0,369560000.0
Total Revenue,,,,,,EDU,1207286000.0,869600000.0,1100021000.0,860571000.0,754153000.0
Operating Revenue,,,,,,EDU,1207286000.0,869600000.0,1100021000.0,860571000.0,754153000.0
Tax Effect Of Unusual Items,,,144426876.477851,53143732.970027,-228639821.442722,TCEHY,,,,,
Tax Rate For Calcs,,,0.230346,0.291999,0.302834,TCEHY,,,,,
Normalized EBITDA,,,49946000000.0,40995000000.0,41264000000.0,TCEHY,,,,,
Total Unusual Items,,,627000000.0,182000000.0,-755000000.0,TCEHY,,,,,
Total Unusual Items Excluding Goodwill,,,627000000.0,182000000.0,-755000000.0,TCEHY,,,,,
Net Income From Continuing Operation Net Minority Interest,,,36182000000.0,26171000000.0,25838000000.0,TCEHY,,,,,
Reconciled Cost Of Revenue,,,78102000000.0,78368000000.0,81804000000.0,TCEHY,,,,,
EBITDA,,,50573000000.0,41177000000.0,40509000000.0,TCEHY,,,,,
EBIT,,,50573000000.0,41177000000.0,40509000000.0,TCEHY,,,,,
Net Interest Income,,,725000000.0,410000000.0,313000000.0,TCEHY,,,,,
Interest Expense,,,2784000000.0,3009000000.0,2650000000.0,TCEHY,,,,,
Interest Income,,,3509000000.0,3419000000.0,2963000000.0,TCEHY,,,,,
Normalized Income,,,35699426876.47785,26042143732.970028,26364360178.557278,TCEHY,,,,,
Net Income From Continuing And Discontinued Operation,,,36182000000.0,26171000000.0,25838000000.0,TCEHY,,,,,
Total Expenses,,,109757000000.0,109243000000.0,110724000000.0,TCEHY,,,,,
Total Operating Income As Reported,,,48475000000.0,40300000000.0,40429000000.0,TCEHY,,,,,
Diluted Average Shares,,,9597000000.0,9625000000.0,9657000000.0,TCEHY,,,,,
Basic Average Shares,,,9452000000.0,9478000000.0,9483000000.0,TCEHY,,,,,
Diluted EPS,,,3.752,2.695,2.639,TCEHY,,,,,
Basic EPS,,,3.828,2.761,2.725,TCEHY,,,,,
Diluted NI Availto Com Stockholders,,,36011000000.0,25937000000.0,25487000000.0,TCEHY,,,,,
Average Dilution Earnings,,,-171000000.0,-234000000.0,-351000000.0,TCEHY,,,,,
Net Income Common Stockholders,,,36182000000.0,26171000000.0,25838000000.0,TCEHY,,,,,
Otherunder Preferred Stock Dividend,,,0.0,0.0,0.0,TCEHY,,,,,
Net Income,,,36182000000.0,26171000000.0,25838000000.0,TCEHY,,,,,
Minority Interests,,,-599000000.0,-852000000.0,-556000000.0,TCEHY,,,,,
Net Income Including Noncontrolling Interests,,,36781000000.0,27023000000.0,26394000000.0,TCEHY,,,,,
Net Income Continuous Operations,,,36781000000.0,27023000000.0,26394000000.0,TCEHY,,,,,
Tax Provision,,,11008000000.0,11145000000.0,11465000000.0,TCEHY,,,,,
Pretax Income,,,47789000000.0,38168000000.0,37859000000.0,TCEHY,,,,,
Other Non Operating Income Expenses,,,-583000000.0,-3597000000.0,-1137000000.0,TCEHY,,,,,
Special Income Charges,,,487000000.0,1821000000.0,-623000000.0,TCEHY,,,,,
Other Special Charges,,,-808000000.0,-1903000000.0,382000000.0,TCEHY,,,,,
Write Off,,,321000000.0,82000000.0,241000000.0,TCEHY,,,,,
Impairment Of Capital Assets,,,0.0,,,TCEHY,,,,,
Net Non Operating Interest Income Expense,,,725000000.0,410000000.0,313000000.0,TCEHY,,,,,
Interest Expense Non Operating,,,2784000000.0,3009000000.0,2650000000.0,TCEHY,,,,,
Interest Income Non Operating,,,3509000000.0,3419000000.0,2963000000.0,TCEHY,,,,,
Operating Income,,,44868000000.0,39965000000.0,39262000000.0,TCEHY,,,,,
Operating Expense,,,31655000000.0,30875000000.0,28920000000.0,TCEHY,,,,,
Selling General And Administration,,,34201000000.0,33729000000.0,31660000000.0,TCEHY,,,,,
Selling And Marketing Expense,,,7912000000.0,8310000000.0,7018000000.0,TCEHY,,,,,
General And Administrative Expense,,,26289000000.0,25419000000.0,24642000000.0,TCEHY,,,,,
Gross Profit,,,76523000000.0,70840000000.0,68182000000.0,TCEHY,,,,,
Cost Of Revenue,,,78102000000.0,78368000000.0,81804000000.0,TCEHY,,,,,
Total Revenue,,,154625000000.0,149208000000.0,149986000000.0,TCEHY,,,,,
Operating Revenue,,,154625000000.0,149208000000.0,149986000000.0,TCEHY,,,,,
Tax Effect Of Unusual Items,,-90570628.217452,0.0,0.0,-1604578.303603,VFC,,,,,
Tax Rate For Calcs,,0.352283,0.21,0.078,0.005125,VFC,,,,,
Normalized EBITDA,,630898000.0,439851000.0,60010000.0,220213000.0,VFC,,,,,
Total Unusual Items,,-257096000.0,0.0,,-313087000.0,VFC,,,,,
Total Unusual Items Excluding Goodwill,,-257096000.0,0.0,,-313087000.0,VFC,,,,,
Net Income From Continuing Operation Net Minority Interest,,-42452000.0,-450697000.0,-57425000.0,-214892000.0,VFC,,,,,
Reconciled Depreciation,,371794000.0,75626000.0,67075000.0,70150000.0,VFC,,,,,
Reconciled Cost Of Revenue,,1327871000.0,1479028000.0,985269000.0,1381589000.0,VFC,,,,,
EBITDA,,373802000.0,439851000.0,60010000.0,-92874000.0,VFC,,,,,
EBIT,,2008000.0,364225000.0,-7065000.0,-163024000.0,VFC,,,,,
Net Interest Income,,-63338000.0,-55644000.0,-49719000.0,-49237000.0,VFC,,,,,
Interest Expense,,67549000.0,60452000.0,55213000.0,52975000.0,VFC,,,,,
Interest Income,,4211000.0,4808000.0,5494000.0,3738000.0,VFC,,,,,
Normalized Income,,124073371.782548,-450697000.0,-57425000.0,96590421.696397,VFC,,,,,
Net Income From Continuing And Discontinued Operation,,-42452000.0,-450697000.0,-57425000.0,-214892000.0,VFC,,,,,
Total Expenses,,2735419000.0,2671312000.0,2095328000.0,2587409000.0,VFC,,,,,
Total Operating Income As Reported,,-32232000.0,362927000.0,-8992000.0,-160883000.0,VFC,,,,,
Diluted Average Shares,,388383000.0,388338000.0,388160000.0,388062000.0,VFC,,,,,
Basic Average Shares,,388383000.0,388338000.0,388160000.0,388062000.0,VFC,,,,,
Diluted EPS,,-0.11,-1.16,-0.15,-0.55,VFC,,,,,
Basic EPS,,-0.11,-1.16,-0.15,-0.55,VFC,,,,,
Diluted NI Availto Com Stockholders,,-42452000.0,-450697000.0,-57425000.0,-214892000.0,VFC,,,,,
Net Income Common Stockholders,,-42452000.0,-450697000.0,-57425000.0,-214892000.0,VFC,,,,,
Net Income,,-42452000.0,-450697000.0,-57425000.0,-214892000.0,VFC,,,,,
Net Income Including Noncontrolling Interests,,-42452000.0,-450697000.0,-57425000.0,-214892000.0,VFC,,,,,
Net Income Discontinuous Operations,,,,,0.0,VFC,,,,,
Net Income Continuous Operations,,-42452000.0,-450697000.0,-57425000.0,-214892000.0,VFC,,,,,
Tax Provision,,-23089000.0,754470000.0,-4853000.0,-1107000.0,VFC,,,,,
Pretax Income,,-65541000.0,303773000.0,-62278000.0,-215999000.0,VFC,,,,,
Other Income Expense,,-227067000.0,-3510000.0,-3567000.0,-318966000.0,VFC,,,,,
Other Non Operating Income Expenses,,30029000.0,-3510000.0,-3567000.0,-5879000.0,VFC,,,,,
Special Income Charges,,-257096000.0,0.0,,-313087000.0,VFC,,,,,
Impairment Of Capital Assets,,257096000.0,0.0,,313087000.0,VFC,,,,,
Net Non Operating Interest Income Expense,,-63338000.0,-55644000.0,-49719000.0,-49237000.0,VFC,,,,,
Interest Expense Non Operating,,67549000.0,60452000.0,55213000.0,52975000.0,VFC,,,,,
