metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
EBITDA,213271000.0,186446000.0,185384000.0,181503000.0,160989000.0,,,CHX,,,,,,,,,,,,
EBIT,153691000.0,127736000.0,123545000.0,122826000.0,104279000.0,,,CHX,,,,,,,,,,,,
Net Interest Income,-13935000.0,-13808000.0,-13744000.0,-14544000.0,-12466000.0,,,CHX,,,,,,,,,,,,
Interest Expense,13935000.0,13808000.0,13744000.0,14544000.0,12466000.0,,,CHX,,,,,,,,,,,,
Normalized Income,88762320.0,102123886.858367,77711000.0,95797000.0,78772862.0,,,CHX,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,112923000.0,77198000.0,77711000.0,95797000.0,63532000.0,,,CHX,,,,,,,,,,,,
Total Expenses,795351000.0,808752000.0,810240000.0,806878000.0,825808000.0,,,CHX,,,,,,,,,,,,
Diluted Average Shares,193964000.0,196649000.0,199592000.0,200735000.0,202440000.0,,,CHX,,,,,,,,,,,,
Basic Average Shares,190803000.0,193191000.0,195881000.0,197034000.0,198286000.0,,,CHX,,,,,,,,,,,,
Diluted EPS,0.58,0.39,0.39,0.48,0.31,,,CHX,,,,,,,,,,,,
Basic EPS,0.59,0.4,0.4,0.49,0.32,,,CHX,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,112923000.0,77198000.0,77711000.0,95797000.0,63532000.0,,,CHX,,,,,,,,,,,,
Net Income Common Stockholders,112923000.0,77198000.0,77711000.0,95797000.0,63532000.0,,,CHX,,,,,,,,,,,,
Net Income,112923000.0,77198000.0,77711000.0,95797000.0,63532000.0,,,CHX,,,,,,,,,,,,
Minority Interests,-237000.0,-959000.0,-3081000.0,-829000.0,388000.0,,,CHX,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,113160000.0,78157000.0,80792000.0,96626000.0,63144000.0,,,CHX,,,,,,,,,,,,
Net Income Continuous Operations,113160000.0,78157000.0,80792000.0,96626000.0,63144000.0,,,CHX,,,,,,,,,,,,
Tax Provision,26596000.0,35771000.0,29009000.0,11656000.0,28669000.0,,,CHX,,,,,,,,,,,,
Pretax Income,139756000.0,113928000.0,109801000.0,108282000.0,91813000.0,,,CHX,,,,,,,,,,,,
Other Income Expense,26901000.0,-7067000.0,-5998000.0,3104000.0,-18260000.0,,,CHX,,,,,,,,,,,,
Other Non Operating Income Expenses,-2927000.0,29267000.0,-5998000.0,3104000.0,3957000.0,,,CHX,,,,,,,,,,,,
Special Income Charges,29883000.0,0.0,0.0,0.0,-12965000.0,,,CHX,,,,,,,,,,,,
Gain On Sale Of Business,29883000.0,,0.0,0.0,-12965000.0,,6409000.0,CHX,,,,,,,,,,,,
Gain On Sale Of Security,-55000.0,,,,-9252000.0,,,CHX,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-13935000.0,-13808000.0,-13744000.0,-14544000.0,-12466000.0,,,CHX,,,,,,,,,,,,
Interest Expense Non Operating,13935000.0,13808000.0,13744000.0,14544000.0,12466000.0,,,CHX,,,,,,,,,,,,
Operating Income,126790000.0,134803000.0,129543000.0,119722000.0,122539000.0,,,CHX,,,,,,,,,,,,
Operating Expense,172414000.0,147415000.0,162317000.0,162484000.0,160816000.0,,,CHX,,,,,,,,,,,,
Selling General And Administration,172414000.0,147415000.0,162317000.0,162484000.0,160816000.0,,,CHX,,,,,,,,,,,,
Gross Profit,299204000.0,282218000.0,291860000.0,282206000.0,283355000.0,,,CHX,,,,,,,,,,,,
Cost Of Revenue,622937000.0,661337000.0,647923000.0,644394000.0,664992000.0,,,CHX,,,,,,,,,,,,
Total Revenue,922141000.0,943555000.0,939783000.0,926600000.0,948347000.0,,,CHX,,,,,,,,,,,,
Operating Revenue,895006000.0,918964000.0,914508000.0,902061000.0,926268000.0,,,CHX,,,,,,,,,,,,
Tax Effect Of Unusual Items,28254369.735105,-87839933.855493,-23223166.850733,46412108.091547,75560072.278628,,,JKS,,,,,,,,,,,,
Tax Rate For Calcs,0.334783,0.385444,0.146613,0.126843,0.206046,,,JKS,,,,,,,,,,,,
Normalized EBITDA,1621297000.0,1508055000.0,3057387000.0,2532049000.0,1452826000.0,,,JKS,,,,,,,,,,,,
Total Unusual Items,84396000.0,-227893000.0,-158398000.0,365902000.0,366715000.0,,,JKS,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,84396000.0,-227893000.0,-158398000.0,365902000.0,366715000.0,,,JKS,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,609398000.0,29315000.0,1323373000.0,1306102000.0,788650000.0,,,JKS,,,,,,,,,,,,
Reconciled Cost Of Revenue,20309195000.0,28739437000.0,25701047000.0,25902426000.0,19288045000.0,,,JKS,,,,,,,,,,,,
EBITDA,1705693000.0,1280162000.0,2898989000.0,2897951000.0,1819541000.0,,,JKS,,,,,,,,,,,,
EBIT,1705693000.0,1280162000.0,2898989000.0,2897951000.0,1819541000.0,,,JKS,,,,,,,,,,,,
Net Interest Income,-186833000.0,-205590000.0,-148171000.0,-208453000.0,-55392000.0,,,JKS,,,,,,,,,,,,
Interest Expense,281733000.0,759121000.0,148171000.0,208453000.0,290735000.0,,,JKS,,,,,,,,,,,,
Interest Income,94900000.0,,,,235343000.0,,,JKS,,,,,,,,,,,,
Normalized Income,553256369.735105,169368066.144507,1458547833.149267,986612108.091547,497495072.278628,,,JKS,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,609398000.0,29315000.0,1323373000.0,1306102000.0,788650000.0,,,JKS,,,,,,,,,,,,
Total Expenses,23152044000.0,31863752000.0,28751681000.0,28301768000.0,21853268000.0,,,JKS,,,,,,,,,,,,
Total Operating Income As Reported,-339608000.0,352459000.0,2990204000.0,1538204000.0,1211752000.0,,,JKS,,,,,,,,,,,,
Diluted Average Shares,55911567.0,53816741.0,55795739.0,55913713.0,52738711.0,,,JKS,,,,,,,,,,,,
Basic Average Shares,54000354.0,52395680.0,51571720.0,51141628.0,50479936.0,,,JKS,,,,,,,,,,,,
Diluted EPS,5.36,0.56,18.44,22.2,14.96,,,JKS,,,,,,,,,,,,
Basic EPS,11.28,0.56,25.68,25.56,15.64,,,JKS,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,609398000.0,23741000.0,1323373000.0,1306102000.0,788650000.0,,,JKS,,,,,,,,,,,,
Net Income Common Stockholders,609398000.0,29315000.0,1323373000.0,1306102000.0,788650000.0,,,JKS,,,,,,,,,,,,
Net Income,609398000.0,29315000.0,1323373000.0,1306102000.0,788650000.0,,,JKS,,,,,,,,,,,,
Minority Interests,-351025000.0,-293269000.0,-1001203000.0,-1105533000.0,-605107000.0,,,JKS,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,960423000.0,322584000.0,2324576000.0,2411635000.0,1393757000.0,,,JKS,,,,,,,,,,,,
Net Income Continuous Operations,960423000.0,322584000.0,2324576000.0,2411635000.0,1393757000.0,,,JKS,,,,,,,,,,,,
Earnings From Equity Interest Net Of Tax,13181000.0,2375000.0,-22937000.0,63281000.0,179955000.0,,,JKS,,,,,,,,,,,,
Tax Provision,476718000.0,200832000.0,403305000.0,341144000.0,315004000.0,,,JKS,,,,,,,,,,,,
Pretax Income,1423960000.0,521041000.0,2750818000.0,2689498000.0,1528806000.0,,,JKS,,,,,,,,,,,,
Other Income Expense,1718557000.0,-239789000.0,-183588000.0,514620000.0,108404000.0,,,JKS,,,,,,,,,,,,
Other Non Operating Income Expenses,1634161000.0,-11896000.0,-25190000.0,148718000.0,-258311000.0,,,JKS,,,,,,,,,,,,
Special Income Charges,0.0,-59342000.0,-27912000.0,-552751000.0,0.0,,,JKS,,,,,,,,,,,,
Impairment Of Capital Assets,0.0,59342000.0,27912000.0,552751000.0,0.0,,,JKS,,,,,,,,,,,,
Gain On Sale Of Security,84396000.0,-168551000.0,-130486000.0,918653000.0,366715000.0,,,JKS,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-186833000.0,-205590000.0,-148171000.0,-208453000.0,-55392000.0,,,JKS,,,,,,,,,,,,
Interest Expense Non Operating,281733000.0,759121000.0,148171000.0,208453000.0,290735000.0,,,JKS,,,,,,,,,,,,
Interest Income Non Operating,94900000.0,,,,235343000.0,,,JKS,,,,,,,,,,,,
Operating Income,-107764000.0,966420000.0,3082577000.0,2383331000.0,1475794000.0,,,JKS,,,,,,,,,,,,
Operating Expense,2842849000.0,3124315000.0,3050634000.0,2399342000.0,2565223000.0,,,JKS,,,,,,,,,,,,
Other Operating Expenses,-231844000.0,-554619000.0,-64461000.0,-292376000.0,-264042000.0,,,JKS,,,,,,,,,,,,
Research And Development,240428000.0,279642000.0,218097000.0,225574000.0,188556000.0,,,JKS,,,,,,,,,,,,
Selling General And Administration,2834265000.0,3399292000.0,2896998000.0,2466144000.0,2640709000.0,,,JKS,,,,,,,,,,,,
Selling And Marketing Expense,1466397000.0,1857825000.0,1739184000.0,1665996000.0,1556301000.0,,,JKS,,,,,,,,,,,,
General And Administrative Expense,1367868000.0,1541467000.0,1157814000.0,800148000.0,1084408000.0,,,JKS,,,,,,,,,,,,
Other Gand A,1367868000.0,1541467000.0,1157814000.0,800148000.0,1084408000.0,,,JKS,,,,,,,,,,,,
Gross Profit,2735085000.0,4090735000.0,6133211000.0,4782673000.0,4041017000.0,,,JKS,,,,,,,,,,,,
Cost Of Revenue,20309195000.0,28739437000.0,25701047000.0,25902426000.0,19288045000.0,,,JKS,,,,,,,,,,,,
Total Revenue,23044280000.0,32830172000.0,31834258000.0,30685099000.0,23329062000.0,,,JKS,,,,,,,,,,,,
Operating Revenue,23044280000.0,32830172000.0,31834258000.0,30685099000.0,23329062000.0,,,JKS,,,,,,,,,,,,
Tax Effect Of Unusual Items,-9046352794.825012,455765646.395566,-5550630213.170746,-4052624878.922313,142392552000.0,,,MUFG,,,,,,,,,,,,
Tax Rate For Calcs,0.245798,0.252642,0.276055,0.18135,0.232,,,MUFG,,,,,,,,,,,,
Total Unusual Items,-36804000000.0,1804000000.0,-20107000000.0,-22347000000.0,613761000000.0,,,MUFG,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-36804000000.0,1804000000.0,-20107000000.0,-22347000000.0,613761000000.0,,,MUFG,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,192865000000.0,370635000000.0,368892000000.0,558389000000.0,773321000000.0,,,MUFG,,,,,,,,,,,,
Net Interest Income,657822000000.0,570243000000.0,645382000000.0,584129000000.0,593898000000.0,,,MUFG,,,,,,,,,,,,
Interest Expense,1466829000000.0,1241395000000.0,1215930000000.0,1086946000000.0,927639000000.0,,,MUFG,,,,,,,,,,,,
Interest Income,2124651000000.0,1811638000000.0,1861312000000.0,1671075000000.0,1521537000000.0,,,MUFG,,,,,,,,,,,,
Normalized Income,220622647205.175,369286765646.39557,383448369786.8292,576683375121.0776,301952552000.0,,,MUFG,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,192865000000.0,370635000000.0,368892000000.0,558389000000.0,773321000000.0,,,MUFG,,,,,,,,,,,,
Diluted Average Shares,,,,12062842947.0,,,,MUFG,,,,,,,,,,,,
Basic Average Shares,,,,12023926078.0,,,,MUFG,,,,,,,,,,,,
Diluted EPS,,,,46.29,,,,MUFG,,,,,,,,,,,,
Basic EPS,,,,46.44,,,,MUFG,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,189058000000.0,370635000000.0,368892000000.0,558389000000.0,773321000000.0,,,MUFG,,,,,,,,,,,,
Net Income Common Stockholders,192865000000.0,370635000000.0,368892000000.0,558389000000.0,773321000000.0,,,MUFG,,,,,,,,,,,,
Net Income,192865000000.0,370635000000.0,368892000000.0,558389000000.0,773321000000.0,,,MUFG,,,,,,,,,,,,
Minority Interests,-25394000000.0,-20697000000.0,-17717000000.0,-17171000000.0,-24155000000.0,,,MUFG,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,218260000000.0,391331000000.0,386610000000.0,575560000000.0,797475000000.0,,,MUFG,,,,,,,,,,,,
Net Income Continuous Operations,218260000000.0,391331000000.0,386610000000.0,575560000000.0,797475000000.0,,,MUFG,,,,,,,,,,,,
Tax Provision,71132000000.0,132288000000.0,147422000000.0,127500000000.0,-11916000000.0,,,MUFG,,,,,,,,,,,,
Pretax Income,289392000000.0,523619000000.0,534032000000.0,703061000000.0,785558000000.0,,,MUFG,,,,,,,,,,,,
Special Income Charges,-36804000000.0,1804000000.0,-20107000000.0,-22347000000.0,613761000000.0,,,MUFG,,,,,,,,,,,,
Gain On Sale Of Business,-93000000.0,0.0,,,699509000000.0,0.0,,MUFG,,,,,,,,,,,,
Other Special Charges,31640000000.0,-4063000000.0,-75000000.0,18751000000.0,79290000000.0,,,MUFG,,,,,,,,,,,,
Impairment Of Capital Assets,5071000000.0,2259000000.0,20182000000.0,3596000000.0,6458000000.0,,,MUFG,,,,,,,,,,,,
Gain On Sale Of Security,0.0,0.0,-45362000000.0,45362000000.0,0.0,,,MUFG,,,,,,,,,,,,
Selling General And Administration,797303000000.0,698537000000.0,719987000000.0,705048000000.0,763132000000.0,,,MUFG,,,,,,,,,,,,
General And Administrative Expense,797303000000.0,698537000000.0,719987000000.0,705048000000.0,763132000000.0,,,MUFG,,,,,,,,,,,,
Other Gand A,797303000000.0,698537000000.0,719987000000.0,705048000000.0,763132000000.0,,,MUFG,,,,,,,,,,,,
Total Revenue,1549245000000.0,1452950000000.0,1481428000000.0,1396152000000.0,1328859000000.0,,,MUFG,,,,,,,,,,,,
Operating Revenue,1549245000000.0,1452950000000.0,1481428000000.0,1396152000000.0,1328859000000.0,,,MUFG,,,,,,,,,,,,
Tax Effect Of Unusual Items,76563.0,-1519800.0,202500.0,517882.463243,-1313.0,,,PLYA,,,,,,,,,,,,
Tax Rate For Calcs,0.181,0.3,0.210938,0.12069,0.101,,,PLYA,,,,,,,,,,,,
Normalized EBITDA,107755000.0,59563000.0,34828000.0,64609000.0,96405000.0,,,PLYA,,,,,,,,,,,,
Total Unusual Items,423000.0,-5066000.0,960000.0,4291000.0,-13000.0,,,PLYA,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,423000.0,-5066000.0,960000.0,4291000.0,-13000.0,,,PLYA,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,54341000.0,1004000.0,-10504000.0,20633000.0,42719000.0,,,PLYA,,,,,,,,,,,,
Reconciled Depreciation,18672000.0,20772000.0,22548000.0,19316000.0,19191000.0,,,PLYA,,,,,,,,,,,,
Reconciled Cost Of Revenue,137979000.0,128519000.0,126356000.0,132606000.0,128968000.0,,,PLYA,,,,,,,,,,,,
EBITDA,108178000.0,54497000.0,35788000.0,68900000.0,96392000.0,,,PLYA,,,,,,,,,,,,
EBIT,89506000.0,33725000.0,13240000.0,49584000.0,77201000.0,,,PLYA,,,,,,,,,,,,
Net Interest Income,-23128000.0,-25847000.0,-26552000.0,-26119000.0,-29666000.0,,,PLYA,,,,,,,,,,,,
Interest Expense,23128000.0,25847000.0,26552000.0,26119000.0,29666000.0,,,PLYA,,,,,,,,,,,,
Normalized Income,53994563.0,4550200.0,-11261500.0,16859882.463243,42730687.0,,,PLYA,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,54341000.0,1004000.0,-10504000.0,20633000.0,42719000.0,,,PLYA,,,,,,,,,,,,
Total Expenses,210759000.0,203694000.0,200515000.0,202544000.0,196820000.0,,,PLYA,,,,,,,,,,,,
Total Operating Income As Reported,90299000.0,34651000.0,13590000.0,49787000.0,76969000.0,,,PLYA,,,,,,,,,,,,
Diluted Average Shares,138009859.0,140477293.0,145469906.0,154192223.0,158772453.0,,,PLYA,,,,,,,,,,,,
Basic Average Shares,136651696.0,137757679.0,145469906.0,151955076.0,157314177.0,,,PLYA,,,,,,,,,,,,
Diluted EPS,0.39,0.01,-0.07,0.13,0.27,,,PLYA,,,,,,,,,,,,
Basic EPS,0.4,0.01,-0.07,0.14,0.27,,,PLYA,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,54341000.0,1004000.0,-10504000.0,20633000.0,42719000.0,,,PLYA,,,,,,,,,,,,
Net Income Common Stockholders,54341000.0,1004000.0,-10504000.0,20633000.0,42719000.0,,,PLYA,,,,,,,,,,,,
Net Income,54341000.0,1004000.0,-10504000.0,20633000.0,42719000.0,,,PLYA,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,54341000.0,1004000.0,-10504000.0,20633000.0,42719000.0,,,PLYA,,,,,,,,,,,,
Net Income Continuous Operations,54341000.0,1004000.0,-10504000.0,20633000.0,42719000.0,,,PLYA,,,,,,,,,,,,
Tax Provision,12037000.0,6874000.0,-2808000.0,2832000.0,4816000.0,,,PLYA,,,,,,,,,,,,
Pretax Income,66378000.0,7878000.0,-13312000.0,23465000.0,47535000.0,,,PLYA,,,,,,,,,,,,
Other Income Expense,-370000.0,-5098000.0,610000.0,4088000.0,219000.0,,,PLYA,,,,,,,,,,,,
Other Non Operating Income Expenses,-793000.0,-32000.0,-350000.0,-203000.0,232000.0,,,PLYA,,,,,,,,,,,,
Special Income Charges,423000.0,-5066000.0,960000.0,4291000.0,-13000.0,,,PLYA,,,,,,,,,,,,
Gain On Sale Of Ppe,36000.0,-5052000.0,-6000.0,2000.0,-13000.0,,,PLYA,,,,,,,,,,,,
Other Special Charges,-387000.0,14000.0,-966000.0,-4289000.0,,,,PLYA,,,,,,,,,,,,
Write Off,,,,,,,0.0,PLYA,,,,,,,,,,,,
Impairment Of Capital Assets,,,,,,0.0,0.0,PLYA,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-23128000.0,-25847000.0,-26552000.0,-26119000.0,-29666000.0,,,PLYA,,,,,,,,,,,,
Interest Expense Non Operating,23128000.0,25847000.0,26552000.0,26119000.0,29666000.0,,,PLYA,,,,,,,,,,,,
Operating Income,89876000.0,38823000.0,12630000.0,45496000.0,76982000.0,,,PLYA,,,,,,,,,,,,
Operating Expense,72780000.0,75175000.0,74159000.0,69938000.0,67852000.0,,,PLYA,,,,,,,,,,,,
Other Operating Expenses,2889000.0,3148000.0,2785000.0,3008000.0,3534000.0,,,PLYA,,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,18672000.0,20772000.0,22548000.0,19316000.0,19191000.0,,,PLYA,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,18672000.0,20772000.0,22548000.0,19316000.0,19191000.0,,,PLYA,,,,,,,,,,,,
Amortization,,,400000.0,300000.0,,,400000.0,PLYA,,,,,,,,,,,,
Amortization Of Intangibles Income Statement,,,400000.0,300000.0,,,400000.0,PLYA,,,,,,,,,,,,
Depreciation Income Statement,,,22200000.0,19000000.0,,,19100000.0,PLYA,,,,,,,,,,,,
Selling General And Administration,51219000.0,51255000.0,48826000.0,47614000.0,45127000.0,,,PLYA,,,,,,,,,,,,
Gross Profit,162656000.0,113998000.0,86789000.0,115434000.0,144834000.0,,,PLYA,,,,,,,,,,,,
Cost Of Revenue,137979000.0,128519000.0,126356000.0,132606000.0,128968000.0,,,PLYA,,,,,,,,,,,,
Total Revenue,300635000.0,242517000.0,213145000.0,248040000.0,273802000.0,,,PLYA,,,,,,,,,,,,
Operating Revenue,297326000.0,232253000.0,209829000.0,244430000.0,269704000.0,,,PLYA,,,,,,,,,,,,
Tax Effect Of Unusual Items,-512015.648,532355.898804,612462.753,436531.034,467332.005,,,GNTX,,,,,,,,,,,,
Tax Rate For Calcs,0.152,0.139497,0.159,0.151,0.159,,,GNTX,,,,,,,,,,,,
Normalized EBITDA,156668604.0,151278249.0,140723803.0,149198742.0,134353100.0,,,GNTX,,,,,,,,,,,,
Total Unusual Items,-3368524.0,3816255.0,3851967.0,2890934.0,2939195.0,,,GNTX,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-3368524.0,3816255.0,3851967.0,2890934.0,2939195.0,,,GNTX,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,108230714.0,116944196.0,104725412.0,109155403.0,97578261.0,,,GNTX,,,,,,,,,,,,
Reconciled Depreciation,23953768.0,22320015.0,22159241.0,24800288.0,24041648.0,,,GNTX,,,,,,,,,,,,
Reconciled Cost Of Revenue,387987605.0,385763292.0,384407857.0,390389807.0,376024080.0,,,GNTX,,,,,,,,,,,,
EBITDA,153300080.0,155094504.0,144575770.0,152089676.0,137292295.0,,,GNTX,,,,,,,,,,,,
EBIT,129346312.0,132774489.0,122416529.0,127289388.0,113250647.0,,,GNTX,,,,,,,,,,,,
Normalized Income,111087222.352,113660296.898804,101485907.753,106701000.034,95106398.005,,,GNTX,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,108230714.0,116944196.0,104725412.0,109155403.0,97578261.0,,,GNTX,,,,,,,,,,,,
Total Expenses,460878899.0,456357908.0,453431961.0,456183458.0,437510664.0,,,GNTX,,,,,,,,,,,,
Total Operating Income As Reported,129346312.0,132774489.0,122416529.0,127289388.0,113250647.0,,,GNTX,,,,,,,,,,,,
Diluted Average Shares,230895846.0,233888390.0,230457411.0,230228350.0,232789811.0,,,GNTX,,,,,,,,,,,,
Basic Average Shares,230605626.0,233888390.0,230047014.0,230005782.0,232151296.0,,,GNTX,,,,,,,,,,,,
Diluted EPS,0.47,0.5,0.45,0.47,0.42,,,GNTX,,,,,,,,,,,,
Basic EPS,0.47,0.5,0.45,0.47,0.42,,,GNTX,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,106654231.0,115230059.0,103190285.0,107539569.0,96122624.0,,,GNTX,,,,,,,,,,,,
Average Dilution Earnings,2425.0,1764.0,1978.0,1147.0,1276.0,,,GNTX,,,,,,,,,,,,
Net Income Common Stockholders,106651806.0,115228295.0,103188307.0,107538422.0,96121348.0,,,GNTX,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,1578908.0,1715901.0,1537105.0,1616981.0,1456913.0,,,GNTX,,,,,,,,,,,,
Net Income,108230714.0,116944196.0,104725412.0,109155403.0,97578261.0,,,GNTX,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,108230714.0,116944196.0,104725412.0,109155403.0,97578261.0,,,GNTX,,,,,,,,,,,,
Net Income Continuous Operations,108230714.0,116944196.0,104725412.0,109155403.0,97578261.0,,,GNTX,,,,,,,,,,,,
Tax Provision,19417213.0,18957931.0,19754749.0,19448381.0,18416841.0,,,GNTX,,,,,,,,,,,,
Pretax Income,127647927.0,135902127.0,124480161.0,128603784.0,115995102.0,,,GNTX,,,,,,,,,,,,
Other Income Expense,-1698385.0,3127638.0,2063632.0,1314396.0,2744455.0,,,GNTX,,,,,,,,,,,,
Other Non Operating Income Expenses,1670139.0,-688617.0,-1788335.0,-1576538.0,-194740.0,,,GNTX,,,,,,,,,,,,
Gain On Sale Of Security,-3368524.0,3816255.0,3851967.0,2890934.0,2939195.0,,,GNTX,,,,,,,,,,,,
Operating Income,129346312.0,132774489.0,122416529.0,127289388.0,113250647.0,,,GNTX,,,,,,,,,,,,
Operating Expense,72891294.0,70594616.0,69024104.0,65793651.0,61486584.0,,,GNTX,,,,,,,,,,,,
Research And Development,42181986.0,41534646.0,40197517.0,37973790.0,34653747.0,,,GNTX,,,,,,,,,,,,
Selling General And Administration,30709308.0,29059970.0,28826587.0,27819861.0,26832837.0,,,GNTX,,,,,,,,,,,,
Gross Profit,202237606.0,203369105.0,191440633.0,193083039.0,174737231.0,,,GNTX,,,,,,,,,,,,
Cost Of Revenue,387987605.0,385763292.0,384407857.0,390389807.0,376024080.0,,,GNTX,,,,,,,,,,,,
Total Revenue,590225211.0,589132397.0,575848490.0,583472846.0,550761311.0,,,GNTX,,,,,,,,,,,,
Operating Revenue,590225211.0,589132397.0,575848490.0,583472846.0,550761311.0,,,GNTX,,,,,,,,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,,TEX,,,,,,,,,,,,
Tax Rate For Calcs,0.205,0.21,0.2,0.167,0.175,,,TEX,,,,,,,,,,,,
Normalized EBITDA,166400000.0,140800000.0,178400000.0,220000000.0,160200000.0,,,TEX,,,,,,,,,,,,
Total Unusual Items,,,,,,-200000.0,0.0,TEX,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,,,,,-200000.0,0.0,TEX,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,108500000.0,127900000.0,119200000.0,159800000.0,109900000.0,,,TEX,,,,,,,,,,,,
Reconciled Depreciation,14900000.0,19100000.0,12400000.0,12800000.0,12100000.0,,,TEX,,,,,,,,,,,,
Reconciled Cost Of Revenue,995200000.0,960100000.0,997600000.0,1060200000.0,957000000.0,,,TEX,,,,,,,,,,,,
EBITDA,166400000.0,140800000.0,178400000.0,220000000.0,160200000.0,,,TEX,,,,,,,,,,,,
EBIT,151500000.0,121700000.0,166000000.0,207200000.0,148100000.0,,,TEX,,,,,,,,,,,,
Net Interest Income,-11400000.0,-13600000.0,-14900000.0,-14300000.0,-12900000.0,,,TEX,,,,,,,,,,,,
Interest Expense,15000000.0,16000000.0,17000000.0,15400000.0,14900000.0,,,TEX,,,,,,,,,,,,
Interest Income,3600000.0,2400000.0,2100000.0,1100000.0,2000000.0,,,TEX,,,,,,,,,,,,
Normalized Income,108500000.0,127900000.0,119200000.0,159800000.0,109900000.0,,,TEX,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,108500000.0,126900000.0,119200000.0,159400000.0,112600000.0,,,TEX,,,,,,,,,,,,
Total Expenses,1134200000.0,1106900000.0,1126900000.0,1193200000.0,1088000000.0,,,TEX,,,,,,,,,,,,
Total Operating Income As Reported,158300000.0,115700000.0,163200000.0,209900000.0,147700000.0,,,TEX,,,,,,,,,,,,
Diluted Average Shares,67900000.0,68100000.0,68200000.0,68100000.0,68800000.0,,,TEX,,,,,,,,,,,,
Basic Average Shares,67000000.0,67200000.0,67400000.0,67600000.0,67700000.0,,,TEX,,,,,,,,,,,,
Diluted EPS,1.6,1.86,1.75,2.34,1.64,,,TEX,,,,,,,,,,,,
Basic EPS,1.62,1.89,1.77,2.36,1.66,,,TEX,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,108500000.0,126900000.0,119200000.0,159400000.0,112600000.0,,,TEX,,,,,,,,,,,,
Net Income Common Stockholders,108500000.0,126900000.0,119200000.0,159400000.0,112600000.0,,,TEX,,,,,,,,,,,,
Net Income,108500000.0,126900000.0,119200000.0,159400000.0,112600000.0,,,TEX,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,108500000.0,126900000.0,119200000.0,159400000.0,112600000.0,,,TEX,,,,,,,,,,,,
Net Income Discontinuous Operations,0.0,-1000000.0,0.0,-400000.0,2700000.0,,,TEX,,,,,,,,,,,,
Net Income Continuous Operations,108500000.0,127900000.0,119200000.0,159800000.0,109900000.0,,,TEX,,,,,,,,,,,,
Tax Provision,28000000.0,-22200000.0,29800000.0,32000000.0,23300000.0,,,TEX,,,,,,,,,,,,
Pretax Income,136500000.0,105700000.0,149000000.0,191800000.0,133200000.0,,,TEX,,,,,,,,,,,,
Other Income Expense,-10400000.0,3600000.0,700000.0,-3800000.0,-1600000.0,,,TEX,,,,,,,,,,,,
Other Non Operating Income Expenses,-10400000.0,3600000.0,700000.0,-3800000.0,-1600000.0,,,TEX,,,,,,,,,,,,
Special Income Charges,,,,,,-200000.0,0.0,TEX,,,,,,,,,,,,
Other Special Charges,,,,,,200000.0,,TEX,,,,,,,,,,,,
