metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2022-08-31 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
End Cash Position,322000000.0,189000000.0,181000000.0,222000000.0,218000000.0,,,HIG,,,,,,,,,,,,,
Other Cash Adjustment Outside Changein Cash,,,,,,0.0,,HIG,,,,,,,,,,,,,
Beginning Cash Position,189000000.0,181000000.0,222000000.0,218000000.0,344000000.0,,,HIG,,,,,,,,,,,,,
Effect Of Exchange Rate Changes,0.0,0.0,-4000000.0,13000000.0,-6000000.0,,,HIG,,,,,,,,,,,,,
Changes In Cash,133000000.0,8000000.0,-37000000.0,-9000000.0,-120000000.0,,,HIG,,,,,,,,,,,,,
Financing Cash Flow,-529000000.0,-454000000.0,-489000000.0,-459000000.0,-545000000.0,,,HIG,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,-529000000.0,-454000000.0,-489000000.0,-459000000.0,-545000000.0,,,HIG,,,,,,,,,,,,,
Net Other Financing Charges,-6000000.0,-1000000.0,-2000000.0,23000000.0,-24000000.0,,,HIG,,,,,,,,,,,,,
Proceeds From Stock Option Exercised,-27000000.0,31000000.0,0.0,7000000.0,-32000000.0,,,HIG,,,,,,,,,,,,,
Cash Dividends Paid,-146000000.0,-134000000.0,-137000000.0,-139000000.0,-139000000.0,,,HIG,,,,,,,,,,,,,
Preferred Stock Dividend Paid,-5000000.0,-5000000.0,-6000000.0,-5000000.0,-5000000.0,,,HIG,,,,,,,,,,,,,
Common Stock Dividend Paid,-141000000.0,-129000000.0,-131000000.0,-134000000.0,-134000000.0,,,HIG,,,,,,,,,,,,,
Net Common Stock Issuance,-350000000.0,-350000000.0,-350000000.0,-350000000.0,-350000000.0,,,HIG,,,,,,,,,,,,,
Common Stock Payments,-350000000.0,-350000000.0,-350000000.0,-350000000.0,-350000000.0,,,HIG,,,,,,,,,,,,,
Net Issuance Payments Of Debt,,0.0,0.0,,,0.0,0.0,HIG,,,,,,,,,,,,,
Net Long Term Debt Issuance,,,,,,0.0,0.0,HIG,,,,,,,,,,,,,
Long Term Debt Payments,,0.0,0.0,,,0.0,0.0,HIG,,,,,,,,,,,,,
Long Term Debt Issuance,,,,,,0.0,,HIG,,,,,,,,,,,,,
Investing Cash Flow,-435000000.0,-1165000000.0,-1319000000.0,499000000.0,-446000000.0,,,HIG,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,-435000000.0,-1165000000.0,-1319000000.0,499000000.0,-446000000.0,,,HIG,,,,,,,,,,,,,
Net Other Investing Changes,,-10000000.0,-2000000.0,-2000000.0,-7000000.0,-11000000.0,,HIG,,,,,,,,,,,,,
Net Investment Purchase And Sale,-158000000.0,-943000000.0,-1146000000.0,749000000.0,-165000000.0,,,HIG,,,,,,,,,,,,,
Sale Of Investment,2599000000.0,1539000000.0,1464000000.0,2305000000.0,3673000000.0,,,HIG,,,,,,,,,,,,,
Purchase Of Investment,-2757000000.0,-2482000000.0,-2610000000.0,-1556000000.0,-3838000000.0,,,HIG,,,,,,,,,,,,,
Net Business Purchase And Sale,-124000000.0,-154000000.0,-119000000.0,-221000000.0,-177000000.0,,,HIG,,,,,,,,,,,,,
Sale Of Business,32000000.0,65000000.0,83000000.0,51000000.0,96000000.0,,,HIG,,,,,,,,,,,,,
Purchase Of Business,-156000000.0,-219000000.0,-202000000.0,-272000000.0,-273000000.0,,,HIG,,,,,,,,,,,,,
Net PPE Purchase And Sale,-50000000.0,-64000000.0,-52000000.0,-50000000.0,-49000000.0,,,HIG,,,,,,,,,,,,,
Purchase Of PPE,-50000000.0,-64000000.0,,,-49000000.0,-53000000.0,,HIG,,,,,,,,,,,,,
Operating Cash Flow,1097000000.0,1627000000.0,1771000000.0,-49000000.0,871000000.0,,,HIG,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,1097000000.0,1627000000.0,1771000000.0,-49000000.0,871000000.0,,,HIG,,,,,,,,,,,,,
Change In Working Capital,182000000.0,647000000.0,911000000.0,-773000000.0,135000000.0,,,HIG,,,,,,,,,,,,,
Change In Other Working Capital,-303000000.0,256000000.0,459000000.0,-430000000.0,-321000000.0,,,HIG,,,,,,,,,,,,,
Change In Payables And Accrued Expense,,,,,,,-57000000.0,HIG,,,,,,,,,,,,,
Change In Payable,,,,,,,-57000000.0,HIG,,,,,,,,,,,,,
Change In Tax Payable,,,,,,,-57000000.0,HIG,,,,,,,,,,,,,
Change In Income Tax Payable,,,,,,,-57000000.0,HIG,,,,,,,,,,,,,
Change In Receivables,-385000000.0,-223000000.0,-22000000.0,-313000000.0,-305000000.0,,,HIG,,,,,,,,,,,,,
Changes In Account Receivables,-385000000.0,-223000000.0,-22000000.0,-313000000.0,-305000000.0,,,HIG,,,,,,,,,,,,,
Other Non Cash Items,-482000000.0,-476000000.0,-526000000.0,-518000000.0,-426000000.0,,,HIG,,,,,,,,,,,,,
Unrealized Gain Loss On Investment Securities,,,14000000.0,14000000.0,15000000.0,,72000000.0,HIG,,,,,,,,,,,,,
Amortization Of Securities,545000000.0,534000000.0,517000000.0,502000000.0,491000000.0,,,HIG,,,,,,,,,,,,,
Depreciation And Amortization,127000000.0,124000000.0,128000000.0,129000000.0,129000000.0,,,HIG,,,,,,,,,,,,,
Operating Gains Losses,-28000000.0,70000000.0,76000000.0,35000000.0,7000000.0,,,HIG,,,,,,,,,,,,,
Gain Loss On Investment Securities,-28000000.0,70000000.0,76000000.0,35000000.0,7000000.0,,,HIG,,,,,,,,,,,,,
Gain Loss On Sale Of Business,,,,,,0.0,,HIG,,,,,,,,,,,,,
Net Income From Continuing Operations,753000000.0,771000000.0,651000000.0,547000000.0,535000000.0,,,HIG,,,,,,,,,,,,,
Free Cash Flow,-21000000.0,-359000000.0,46000000.0,-48000000.0,872000000.0,,,ARCC,,,,,,,,,,,,,
Repayment Of Debt,-2183000000.0,-1856000000.0,-964000000.0,-720000000.0,-2063000000.0,,,ARCC,,,,,,,,,,,,,
Issuance Of Debt,2417000000.0,2204000000.0,1114000000.0,882000000.0,1015000000.0,,,ARCC,,,,,,,,,,,,,
Issuance Of Capital Stock,85000000.0,236000000.0,215000000.0,227000000.0,477000000.0,,,ARCC,,,,,,,,,,,,,
End Cash Position,577000000.0,564000000.0,605000000.0,453000000.0,377000000.0,,,ARCC,,,,,,,,,,,,,
Beginning Cash Position,564000000.0,605000000.0,453000000.0,377000000.0,337000000.0,,,ARCC,,,,,,,,,,,,,
Changes In Cash,13000000.0,-41000000.0,152000000.0,76000000.0,40000000.0,,,ARCC,,,,,,,,,,,,,
Financing Cash Flow,34000000.0,318000000.0,106000000.0,124000000.0,-832000000.0,,,ARCC,,,,,,,,,,,,,
Net Other Financing Charges,0.0,0.0,0.0,0.0,0.0,,,ARCC,,,,,,,,,,,,,
Cash Dividends Paid,-270000000.0,-263000000.0,-254000000.0,-253000000.0,-261000000.0,,,ARCC,,,,,,,,,,,,,
Common Stock Dividend Paid,-270000000.0,-263000000.0,-254000000.0,-253000000.0,-261000000.0,,,ARCC,,,,,,,,,,,,,
Net Common Stock Issuance,85000000.0,236000000.0,215000000.0,227000000.0,477000000.0,,,ARCC,,,,,,,,,,,,,
Common Stock Issuance,85000000.0,236000000.0,215000000.0,227000000.0,477000000.0,,,ARCC,,,,,,,,,,,,,
Net Issuance Payments Of Debt,234000000.0,348000000.0,150000000.0,162000000.0,-1048000000.0,,,ARCC,,,,,,,,,,,,,
Net Long Term Debt Issuance,234000000.0,348000000.0,150000000.0,162000000.0,-1048000000.0,,,ARCC,,,,,,,,,,,,,
Long Term Debt Payments,-2183000000.0,-1856000000.0,-964000000.0,-720000000.0,-2063000000.0,,,ARCC,,,,,,,,,,,,,
Long Term Debt Issuance,2417000000.0,2204000000.0,1114000000.0,882000000.0,1015000000.0,,,ARCC,,,,,,,,,,,,,
Operating Cash Flow,-21000000.0,-359000000.0,46000000.0,-48000000.0,872000000.0,,,ARCC,,,,,,,,,,,,,
Interest Received Cfo,3000000.0,4000000.0,17000000.0,1000000.0,26000000.0,,,ARCC,,,,,,,,,,,,,
Dividend Received Cfo,,0.0,0.0,11000000.0,0.0,44000000.0,,ARCC,,,,,,,,,,,,,
Change In Working Capital,-5000000.0,53000000.0,58000000.0,-61000000.0,-19000000.0,,,ARCC,,,,,,,,,,,,,
Change In Other Current Liabilities,-2000000.0,-3000000.0,-4000000.0,-4000000.0,-3000000.0,,,ARCC,,,,,,,,,,,,,
Change In Other Current Assets,5000000.0,14000000.0,-11000000.0,-9000000.0,-2000000.0,,,ARCC,,,,,,,,,,,,,
Change In Payable,-18000000.0,73000000.0,93000000.0,-40000000.0,-13000000.0,,,ARCC,,,,,,,,,,,,,
Change In Receivables,10000000.0,-31000000.0,-20000000.0,-8000000.0,-1000000.0,,,ARCC,,,,,,,,,,,,,
Other Non Cash Items,-32000000.0,-47000000.0,-34000000.0,-37000000.0,-40000000.0,,,ARCC,,,,,,,,,,,,,
Gain Loss On Investment Securities,-436000000.0,-782000000.0,-495000000.0,-293000000.0,627000000.0,,,ARCC,,,,,,,,,,,,,
Net Income From Continuing Operations,449000000.0,413000000.0,500000000.0,331000000.0,278000000.0,,,ARCC,,,,,,,,,,,,,
Free Cash Flow,141596000.0,137594000.0,109342000.0,85163000.0,65848000.0,,,CHX,,,,,,,,,,,,,
Repurchase Of Capital Stock,-49399000.0,-117845000.0,-68113000.0,-51189000.0,-40428000.0,,,CHX,,,,,,,,,,,,,
Repayment Of Debt,-1551000.0,-4385000.0,-2764000.0,-21446000.0,-26563000.0,,,CHX,,,,,,,,,,,,,
Issuance Of Debt,,0.0,0.0,,,0.0,150200000.0,CHX,,,,,,,,,,,,,
Capital Expenditure,-31912000.0,-31359000.0,-53688000.0,-30747000.0,-26530000.0,,,CHX,,,,,,,,,,,,,
End Cash Position,386017000.0,288557000.0,285006000.0,263088000.0,247996000.0,,,CHX,,,,,,,,,,,,,
Beginning Cash Position,288557000.0,285006000.0,263088000.0,247996000.0,250187000.0,,,CHX,,,,,,,,,,,,,
Effect Of Exchange Rate Changes,-1161000.0,357000.0,-1336000.0,459000.0,-437000.0,,,CHX,,,,,,,,,,,,,
Changes In Cash,98621000.0,3194000.0,23254000.0,14633000.0,-1754000.0,,,CHX,,,,,,,,,,,,,
Financing Cash Flow,-64093000.0,-136617000.0,-91307000.0,-74134000.0,-71107000.0,,,CHX,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,-64093000.0,-136617000.0,-91307000.0,-74134000.0,-71107000.0,,,CHX,,,,,,,,,,,,,
Net Other Financing Charges,3104000.0,2035000.0,-6471000.0,-3457000.0,10895000.0,,,CHX,,,,,,,,,,,,,
Proceeds From Stock Option Exercised,,249000.0,2759000.0,24000.0,3014000.0,6423000.0,,CHX,,,,,,,,,,,,,
Cash Dividends Paid,-16247000.0,-16671000.0,-16718000.0,-16580000.0,-15011000.0,,,CHX,,,,,,,,,,,,,
Common Stock Dividend Paid,,,-16718000.0,-16580000.0,-15011000.0,,-15015000.0,CHX,,,,,,,,,,,,,
Net Common Stock Issuance,-49399000.0,-117845000.0,-68113000.0,-51189000.0,-40428000.0,,,CHX,,,,,,,,,,,,,
Common Stock Payments,-49399000.0,-117845000.0,-68113000.0,-51189000.0,-40428000.0,,,CHX,,,,,,,,,,,,,
Net Issuance Payments Of Debt,-1551000.0,-4385000.0,-2764000.0,-5946000.0,-26563000.0,,,CHX,,,,,,,,,,,,,
Net Long Term Debt Issuance,-1551000.0,-4385000.0,-2764000.0,-5946000.0,-26563000.0,,,CHX,,,,,,,,,,,,,
Long Term Debt Payments,-1551000.0,-4385000.0,-2764000.0,-21446000.0,-26563000.0,,,CHX,,,,,,,,,,,,,
Long Term Debt Issuance,,0.0,0.0,,,0.0,150200000.0,CHX,,,,,,,,,,,,,
Investing Cash Flow,-10794000.0,-29142000.0,-48469000.0,-27143000.0,-23025000.0,,,CHX,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,-10794000.0,-29142000.0,-48469000.0,-27143000.0,-23025000.0,,,CHX,,,,,,,,,,,,,
Net Investment Purchase And Sale,-4092000.0,,,,0.0,,,CHX,,,,,,,,,,,,,
Sale Of Investment,13070000.0,,,,0.0,,,CHX,,,,,,,,,,,,,
Purchase Of Investment,-17162000.0,,,,0.0,,,CHX,,,,,,,,,,,,,
Net Business Purchase And Sale,-21472000.0,0.0,0.0,0.0,0.0,,,CHX,,,,,,,,,,,,,
Sale Of Business,,,,,,0.0,,CHX,,,,,,,,,,,,,
Purchase Of Business,-21472000.0,0.0,0.0,0.0,0.0,,,CHX,,,,,,,,,,,,,
Net PPE Purchase And Sale,46682000.0,2217000.0,5219000.0,3604000.0,3505000.0,,,CHX,,,,,,,,,,,,,
Sale Of PPE,46682000.0,2217000.0,5219000.0,3604000.0,3505000.0,,,CHX,,,,,,,,,,,,,
Capital Expenditure Reported,-31912000.0,-31359000.0,-53688000.0,-30747000.0,-26530000.0,,,CHX,,,,,,,,,,,,,
Operating Cash Flow,173508000.0,168953000.0,163030000.0,115910000.0,92378000.0,,,CHX,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,173508000.0,168953000.0,163030000.0,115910000.0,92378000.0,,,CHX,,,,,,,,,,,,,
Change In Working Capital,26639000.0,33571000.0,1282000.0,-36518000.0,-49192000.0,,,CHX,,,,,,,,,,,,,
Change In Other Working Capital,,,,,-38493000.0,15948000.0,30118000.0,CHX,,,,,,,,,,,,,
Change In Other Current Liabilities,-59795000.0,30617000.0,29448000.0,-39825000.0,-81076000.0,,,CHX,,,,,,,,,,,,,
Change In Other Current Assets,-4856000.0,-9725000.0,-2137000.0,-10632000.0,-8358000.0,,,CHX,,,,,,,,,,,,,
Change In Payables And Accrued Expense,68248000.0,-46873000.0,-47650000.0,-76000.0,40708000.0,,,CHX,,,,,,,,,,,,,
Change In Accrued Expense,,,,,-39051000.0,24934000.0,51169000.0,CHX,,,,,,,,,,,,,
Change In Payable,68248000.0,-46873000.0,-47650000.0,-76000.0,40708000.0,,,CHX,,,,,,,,,,,,,
Change In Account Payable,68248000.0,-46873000.0,-47650000.0,-76000.0,40708000.0,,,CHX,,,,,,,,,,,,,
Change In Prepaid Assets,,,,,-2060000.0,-12472000.0,-3056000.0,CHX,,,,,,,,,,,,,
Change In Inventory,-39873000.0,68764000.0,20029000.0,-6901000.0,-63139000.0,,,CHX,,,,,,,,,,,,,
Change In Receivables,62915000.0,-15160000.0,1592000.0,20916000.0,62673000.0,,,CHX,,,,,,,,,,,,,
Other Non Cash Items,2922000.0,-3732000.0,2621000.0,2688000.0,2526000.0,,,CHX,,,,,,,,,,,,,
Stock Based Compensation,6173000.0,6085000.0,6089000.0,6341000.0,5234000.0,,,CHX,,,,,,,,,,,,,
Provisionand Write Offof Assets,2621000.0,2620000.0,4010000.0,2378000.0,9966000.0,,,CHX,,,,,,,,,,,,,
Deferred Tax,-12903000.0,-6892000.0,6807000.0,-13746000.0,-8441000.0,,,CHX,,,,,,,,,,,,,
Deferred Income Tax,-12903000.0,-6892000.0,6807000.0,-13746000.0,-8441000.0,,,CHX,,,,,,,,,,,,,
Depreciation Amortization Depletion,59580000.0,58710000.0,61839000.0,58677000.0,56710000.0,,,CHX,,,,,,,,,,,,,
Depreciation And Amortization,59580000.0,58710000.0,61839000.0,58677000.0,56710000.0,,,CHX,,,,,,,,,,,,,
Operating Gains Losses,-24684000.0,434000.0,-410000.0,-536000.0,12431000.0,,,CHX,,,,,,,,,,,,,
Pension And Employee Benefit Expense,,,,,,655000.0,545000.0,CHX,,,,,,,,,,,,,
Gain Loss On Investment Securities,4092000.0,,,,,,,CHX,,,,,,,,,,,,,
Gain Loss On Sale Of PPE,1107000.0,434000.0,-410000.0,-536000.0,-534000.0,,,CHX,,,,,,,,,,,,,
Gain Loss On Sale Of Business,-29883000.0,0.0,0.0,0.0,12965000.0,,,CHX,,,,,,,,,,,,,
Net Income From Continuing Operations,113160000.0,78157000.0,80792000.0,96626000.0,63144000.0,,,CHX,,,,,,,,,,,,,
Free Cash Flow,46745000.0,45458000.0,-3668000.0,13210000.0,34953000.0,,,PLYA,,,,,,,,,,,,,
Repurchase Of Capital Stock,-30643000.0,-33602000.0,-77923000.0,-32806000.0,-42558000.0,,,PLYA,,,,,,,,,,,,,
Repayment Of Debt,-2866000.0,-2861000.0,-2859000.0,-2859000.0,-2857000.0,,,PLYA,,,,,,,,,,,,,
Issuance Of Capital Stock,,,,,,0.0,0.0,PLYA,,,,,,,,,,,,,
Capital Expenditure,-10032000.0,-15751000.0,-11722000.0,-8614000.0,-10334000.0,,,PLYA,,,,,,,,,,,,,
Interest Paid Supplemental Data,21038000.0,25603000.0,24279000.0,25809000.0,21406000.0,,,PLYA,,,,,,,,,,,,,
Income Tax Paid Supplemental Data,11381000.0,1328000.0,416000.0,1222000.0,1427000.0,,,PLYA,,,,,,,,,,,,,
End Cash Position,285342000.0,272520000.0,184408000.0,268845000.0,281465000.0,,,PLYA,,,,,,,,,,,,,
Beginning Cash Position,272520000.0,184408000.0,268845000.0,281465000.0,283945000.0,,,PLYA,,,,,,,,,,,,,
Changes In Cash,12822000.0,88112000.0,-84437000.0,-12620000.0,-2480000.0,,,PLYA,,,,,,,,,,,,,
Financing Cash Flow,-33509000.0,-36469000.0,-80782000.0,-35665000.0,-45415000.0,,,PLYA,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,-33509000.0,-36469000.0,-80782000.0,-35665000.0,-45415000.0,,,PLYA,,,,,,,,,,,,,
Net Common Stock Issuance,-30643000.0,-33602000.0,-77923000.0,-32806000.0,-42558000.0,,,PLYA,,,,,,,,,,,,,
Common Stock Payments,-30643000.0,-33602000.0,-77923000.0,-32806000.0,-42558000.0,,,PLYA,,,,,,,,,,,,,
Common Stock Issuance,,,,,,0.0,0.0,PLYA,,,,,,,,,,,,,
Net Issuance Payments Of Debt,-2866000.0,-2861000.0,-2859000.0,-2859000.0,-2857000.0,,,PLYA,,,,,,,,,,,,,
Net Short Term Debt Issuance,,,,,,0.0,0.0,PLYA,,,,,,,,,,,,,
Short Term Debt Payments,,,,,,0.0,0.0,PLYA,,,,,,,,,,,,,
Net Long Term Debt Issuance,-2866000.0,-2861000.0,-2859000.0,-2859000.0,-2857000.0,,,PLYA,,,,,,,,,,,,,
Long Term Debt Payments,-2866000.0,-2861000.0,-2859000.0,-2859000.0,-2857000.0,,,PLYA,,,,,,,,,,,,,
Investing Cash Flow,-10446000.0,63372000.0,-11709000.0,1221000.0,-2352000.0,,,PLYA,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,-10446000.0,63372000.0,-11709000.0,1221000.0,-2352000.0,,,PLYA,,,,,,,,,,,,,
Net Other Investing Changes,-414000.0,79123000.0,13000.0,9835000.0,7982000.0,,,PLYA,,,,,,,,,,,,,
Net Intangibles Purchase And Sale,-79000.0,-45000.0,-38000.0,-75000.0,-77000.0,,,PLYA,,,,,,,,,,,,,
Purchase Of Intangibles,-79000.0,-45000.0,-38000.0,-75000.0,-77000.0,,,PLYA,,,,,,,,,,,,,
Capital Expenditure Reported,-9953000.0,-15706000.0,-11684000.0,-8539000.0,-10257000.0,,,PLYA,,,,,,,,,,,,,
Operating Cash Flow,56777000.0,61209000.0,8054000.0,21824000.0,45287000.0,,,PLYA,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,56777000.0,61209000.0,8054000.0,21824000.0,45287000.0,,,PLYA,,,,,,,,,,,,,
Change In Working Capital,-22597000.0,36454000.0,-6074000.0,-25330000.0,-31914000.0,,,PLYA,,,,,,,,,,,,,
Change In Other Current Liabilities,196000.0,404000.0,-404000.0,-160000.0,531000.0,,,PLYA,,,,,,,,,,,,,
Change In Payables And Accrued Expense,-19709000.0,40235000.0,-12669000.0,-15319000.0,-26656000.0,,,PLYA,,,,,,,,,,,,,
Change In Payable,-19709000.0,40235000.0,-12669000.0,-15319000.0,-26656000.0,,,PLYA,,,,,,,,,,,,,
Change In Account Payable,-21692000.0,28182000.0,-9989000.0,-19153000.0,-28743000.0,,,PLYA,,,,,,,,,,,,,
Change In Tax Payable,1016000.0,11792000.0,47000.0,-231000.0,-205000.0,,,PLYA,,,,,,,,,,,,,
Change In Income Tax Payable,1016000.0,11792000.0,47000.0,-231000.0,-205000.0,,,PLYA,,,,,,,,,,,,,
Change In Prepaid Assets,5393000.0,3002000.0,152000.0,-14782000.0,3159000.0,,,PLYA,,,,,,,,,,,,,
Change In Inventory,1273000.0,-1041000.0,56000.0,181000.0,-569000.0,,,PLYA,,,,,,,,,,,,,
Change In Receivables,-9750000.0,-6146000.0,6791000.0,4750000.0,-8379000.0,,,PLYA,,,,,,,,,,,,,
Changes In Account Receivables,-8513000.0,-6254000.0,7151000.0,3743000.0,-14005000.0,,,PLYA,,,,,,,,,,,,,
Other Non Cash Items,1609000.0,125000.0,1555000.0,1547000.0,1800000.0,,,PLYA,,,,,,,,,,,,,
Stock Based Compensation,3759000.0,3256000.0,3343000.0,3442000.0,3166000.0,,,PLYA,,,,,,,,,,,,,
Provisionand Write Offof Assets,491000.0,-288000.0,247000.0,335000.0,81000.0,,,PLYA,,,,,,,,,,,,,
Asset Impairment Charge,,,,,,0.0,0.0,PLYA,,,,,,,,,,,,,
Deferred Tax,529000.0,-6030000.0,-3002000.0,2175000.0,3826000.0,,,PLYA,,,,,,,,,,,,,
Deferred Income Tax,529000.0,-6030000.0,-3002000.0,2175000.0,3826000.0,,,PLYA,,,,,,,,,,,,,
Depreciation Amortization Depletion,18672000.0,20772000.0,22548000.0,19316000.0,19191000.0,,,PLYA,,,,,,,,,,,,,
Depreciation And Amortization,18672000.0,20772000.0,22548000.0,19316000.0,19191000.0,,,PLYA,,,,,,,,,,,,,
Operating Gains Losses,-27000.0,5916000.0,-59000.0,-294000.0,6418000.0,,,PLYA,,,,,,,,,,,,,
Gain Loss On Investment Securities,9000.0,-30000.0,-65000.0,-292000.0,6405000.0,,,PLYA,,,,,,,,,,,,,
Net Income From Continuing Operations,54341000.0,1004000.0,-10504000.0,20633000.0,42719000.0,,,PLYA,,,,,,,,,,,,,
Free Cash Flow,98005760.0,107296627.0,94786367.0,73393103.0,78095035.0,,,GNTX,,,,,,,,,,,,,
Repurchase Of Capital Stock,-41224840.0,-70541762.0,-22663575.0,-28519794.0,-25675972.0,,,GNTX,,,,,,,,,,,,,
Capital Expenditure,-31871370.0,-62284659.0,-31115806.0,-47458920.0,-42819075.0,,,GNTX,,,,,,,,,,,,,
End Cash Position,249004534.0,226435019.0,260633625.0,237665601.0,219452160.0,,,GNTX,,,,,,,,,,,,,
Beginning Cash Position,226435019.0,260633625.0,237665601.0,219452160.0,218754638.0,,,GNTX,,,,,,,,,,,,,
Changes In Cash,22569515.0,-34198606.0,22968024.0,18213441.0,697522.0,,,GNTX,,,,,,,,,,,,,
Financing Cash Flow,-52165121.0,-93439306.0,-40253690.0,-48639952.0,-47819943.0,,,GNTX,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,-52165121.0,-93439306.0,-40253690.0,-48639952.0,-47819943.0,,,GNTX,,,,,,,,,,,,,
Proceeds From Stock Option Exercised,16833987.0,5093411.0,10422051.0,7926788.0,5956022.0,,,GNTX,,,,,,,,,,,,,
Cash Dividends Paid,-27774268.0,-27990955.0,-28012166.0,-28046946.0,-28099993.0,,,GNTX,,,,,,,,,,,,,
Common Stock Dividend Paid,-27774268.0,-27990955.0,-28012166.0,-28046946.0,-28099993.0,,,GNTX,,,,,,,,,,,,,
Net Common Stock Issuance,-41224840.0,-70541762.0,-22663575.0,-28519794.0,-25675972.0,,,GNTX,,,,,,,,,,,,,
Common Stock Payments,-41224840.0,-70541762.0,-22663575.0,-28519794.0,-25675972.0,,,GNTX,,,,,,,,,,,,,
Investing Cash Flow,-55142494.0,-110340586.0,-62680459.0,-53998630.0,-72396645.0,,,GNTX,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,-55142494.0,-110340586.0,-62680459.0,-53998630.0,-72396645.0,,,GNTX,,,,,,,,,,,,,
Net Other Investing Changes,-3285058.0,-1919689.0,952597.0,-1375349.0,-2110935.0,,,GNTX,,,,,,,,,,,,,
Net Investment Purchase And Sale,-19995566.0,43776699.0,-32562250.0,-5186561.0,-27585045.0,,,GNTX,,,,,,,,,,,,,
Sale Of Investment,17541684.0,29017458.0,14100893.0,28580880.0,4593110.0,,,GNTX,,,,,,,,,,,,,
Purchase Of Investment,-37537250.0,14759241.0,-46663143.0,-33767441.0,-32178155.0,,,GNTX,,,,,,,,,,,,,
Net Business Purchase And Sale,,,,,,-9580274.0,0.0,GNTX,,,,,,,,,,,,,
Purchase Of Business,,,,,,-9580274.0,0.0,GNTX,,,,,,,,,,,,,
Net PPE Purchase And Sale,-31861870.0,-62177546.0,-31070806.0,-47436720.0,-42700665.0,,,GNTX,,,,,,,,,,,,,
Sale Of PPE,9500.0,107113.0,45000.0,22200.0,118410.0,,,GNTX,,,,,,,,,,,,,
Purchase Of PPE,-31871370.0,-62284659.0,-31115806.0,-47458920.0,-42819075.0,,,GNTX,,,,,,,,,,,,,
Operating Cash Flow,129877130.0,169581286.0,125902173.0,120852023.0,120914110.0,,,GNTX,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,129877130.0,169581286.0,125902173.0,120852023.0,120914110.0,,,GNTX,,,,,,,,,,,,,
Change In Working Capital,-14821587.0,24195579.0,-7794732.0,-18636269.0,-9774269.0,,,GNTX,,,,,,,,,,,,,
Change In Payables And Accrued Expense,34359995.0,263790.0,1058642.0,-10744698.0,44638315.0,,,GNTX,,,,,,,,,,,,,
Change In Accrued Expense,28279293.0,-13235927.0,-3982700.0,-22042704.0,33525890.0,,,GNTX,,,,,,,,,,,,,
Change In Payable,6080702.0,13499717.0,5041342.0,11298006.0,11112425.0,,,GNTX,,,,,,,,,,,,,
Change In Account Payable,6080702.0,13499717.0,5041342.0,11298006.0,11112425.0,,,GNTX,,,,,,,,,,,,,
Change In Prepaid Assets,4663897.0,1314758.0,-2694187.0,-2092935.0,-629502.0,,,GNTX,,,,,,,,,,,,,
Change In Inventory,-34064216.0,-6780248.0,-5426511.0,11743707.0,2590294.0,,,GNTX,,,,,,,,,,,,,
Change In Receivables,-19781263.0,29397279.0,-732676.0,-17542343.0,-56373376.0,,,GNTX,,,,,,,,,,,,,
Changes In Account Receivables,-19781263.0,29397279.0,-732676.0,-17542343.0,-56373376.0,,,GNTX,,,,,,,,,,,,,
Stock Based Compensation,10473792.0,9985186.0,10948031.0,9744670.0,8519535.0,,,GNTX,,,,,,,,,,,,,
Deferred Tax,-3638218.0,-5864166.0,-6748283.0,-5264620.0,141959.0,,,GNTX,,,,,,,,,,,,,
Deferred Income Tax,-3638218.0,-5864166.0,-6748283.0,-5264620.0,141959.0,,,GNTX,,,,,,,,,,,,,
Depreciation Amortization Depletion,23953768.0,22320015.0,22159241.0,24800288.0,24041648.0,,,GNTX,,,,,,,,,,,,,
Depreciation And Amortization,23953768.0,22320015.0,22159241.0,24800288.0,24041648.0,,,GNTX,,,,,,,,,,,,,
Operating Gains Losses,5678661.0,2000476.0,2612504.0,1052551.0,406976.0,,,GNTX,,,,,,,,,,,,,
Gain Loss On Investment Securities,5697494.0,1891572.0,2639554.0,981676.0,471876.0,,,GNTX,,,,,,,,,,,,,
