metric,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,stock,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00,2020-01-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00
Interest Expense,132899000.0,86655000.0,60339000.0,63914000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,20620000.0,7063000.0,1896000.0,3687000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,492842313.0,128811337.6,-345936680.3,450498411.265578,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,858027000.0,203251000.0,-338777000.0,473238000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,637879000.0,656208000.0,716412000.0,698746000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Rent Expense Supplemental,4500000.0,5769000.0,9750000.0,7954000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,969692000.0,294274000.0,-281573000.0,534322000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,201901743.0,201994217.0,201773240.0,210206403.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,201901743.0,201747963.0,201677981.0,210193707.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,4.25,1.01,-1.68,2.25,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,4.25,1.01,-1.68,2.25,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,858027000.0,203251000.0,-338777000.0,473238000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,858027000.0,203251000.0,-338777000.0,473238000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Net Income,858027000.0,203251000.0,-338777000.0,473238000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,858027000.0,203251000.0,-338777000.0,473238000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,858027000.0,203251000.0,-338777000.0,473238000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Earnings From Equity Interest Net Of Tax,,,22976000.0,10917000.0,16460000.0,EURN,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,6009000.0,2804000.0,-427000.0,1944000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,864036000.0,206055000.0,-339204000.0,475182000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,366832000.0,93116000.0,30145000.0,33750000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,372444000.0,95813000.0,15068000.0,22727000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Ppe,372444000.0,95813000.0,15068000.0,22727000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Write Off,,,,0.0,0.0,EURN,,,,,,,,,,,,,,,,,,,,,,,
Impairment Of Capital Assets,,,,0.0,0.0,EURN,,,,,,,,,,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,,,0.0,0.0,EURN,,,,,,,,,,,,,,,,,,,,,,,
Earnings From Equity Interest,-927000.0,17650000.0,22976000.0,10917000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,-4685000.0,-20347000.0,-7899000.0,106000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-100043000.0,-85522000.0,-72708000.0,-70163000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Total Other Finance Cost,-12236000.0,5930000.0,14265000.0,9936000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,132899000.0,86655000.0,60339000.0,63914000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,20620000.0,7063000.0,1896000.0,3687000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,597248000.0,198461000.0,-296642000.0,511595000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,39216000.0,36561000.0,22154000.0,27221000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,-23610000.0,-15403000.0,-10482000.0,-10500000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Other Taxes,3586000.0,4343000.0,3346000.0,3459000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,59240000.0,47621000.0,29290000.0,34262000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
General And Administrative Expense,59240000.0,47621000.0,29290000.0,34262000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Other Gand A,42842000.0,37955000.0,18807000.0,21642000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Salaries And Wages,16398000.0,9666000.0,10483000.0,12620000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,636464000.0,235022000.0,-274488000.0,538816000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,598663000.0,619647000.0,694258000.0,671525000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,1235127000.0,854669000.0,419770000.0,1210341000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,1235127000.0,854669000.0,419770000.0,1210341000.0,,EURN,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,-1134715.025907,-2545977.011494,-183820.998279,-18788679.245283,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.189119,0.195844,0.183821,0.18066,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,-6000000.0,-13000000.0,-1000000.0,-104000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-6000000.0,-13000000.0,-1000000.0,-104000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,2504000000.0,1819000000.0,2371000000.0,1737000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,510000000.0,625000000.0,680000000.0,562000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
EBIT,3287000000.0,2475000000.0,3139000000.0,2356000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-199000000.0,-213000000.0,-234000000.0,-236000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,199000000.0,213000000.0,234000000.0,236000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,2508865284.974093,1829454022.988506,2371816179.001721,1822211320.754717,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,2504000000.0,1819000000.0,2371000000.0,1737000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,21242000000.0,19592000000.0,18744000000.0,18200000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,311500000.0,329500000.0,354100000.0,360600000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,307100000.0,324800000.0,349100000.0,358300000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,7.97,5.46,6.64,4.76,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,8.09,5.54,6.73,4.79,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,2483000000.0,1798000000.0,2350000000.0,1716000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,2483000000.0,1798000000.0,2350000000.0,1716000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividends,21000000.0,21000000.0,21000000.0,21000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income,2504000000.0,1819000000.0,2371000000.0,1737000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,2504000000.0,1819000000.0,2371000000.0,1737000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income Discontinuous Operations,,,,0.0,0.0,HIG,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,2504000000.0,1819000000.0,2371000000.0,1737000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,584000000.0,443000000.0,534000000.0,383000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,3088000000.0,2262000000.0,2905000000.0,2120000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,84000000.0,73000000.0,81000000.0,126000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,-6000000.0,-13000000.0,-1000000.0,-104000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Other Special Charges,,,,,90000000.0,HIG,,,,,,,,,,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,6000000.0,13000000.0,1000000.0,104000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-199000000.0,-213000000.0,-234000000.0,-236000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,199000000.0,213000000.0,234000000.0,236000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,15000000.0,7000000.0,-9000000.0,19000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Depreciation And Amortization In Income Statement,71000000.0,71000000.0,71000000.0,72000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Amortization,71000000.0,71000000.0,71000000.0,72000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,24330000000.0,21854000000.0,21649000000.0,20320000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,24330000000.0,21854000000.0,21649000000.0,20320000000.0,,HIG,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.01297,0.083969,0.01817,0.037773,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,1522000000.0,600000000.0,1567000000.0,484000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,1432000000.0,1063000000.0,875000000.0,842000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,530000000.0,407000000.0,372000000.0,317000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,1962000000.0,1470000000.0,1247000000.0,1159000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,1522000000.0,600000000.0,1567000000.0,484000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,1522000000.0,600000000.0,1567000000.0,484000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,575000000.0,518000000.0,446000000.0,424000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,554000000.0,498000000.0,446000000.0,424000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,2.68,1.19,3.51,1.14,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.75,1.21,3.51,1.14,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,1539000000.0,617000000.0,1567000000.0,484000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Average Dilution Earnings,17000000.0,17000000.0,0.0,0.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,1522000000.0,600000000.0,1567000000.0,484000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Net Income,1522000000.0,600000000.0,1567000000.0,484000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,1522000000.0,600000000.0,1567000000.0,484000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,1522000000.0,600000000.0,1567000000.0,484000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,20000000.0,55000000.0,29000000.0,19000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,1542000000.0,655000000.0,1596000000.0,503000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,-155000000.0,24000000.0,258000000.0,-148000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,94000000.0,134000000.0,82000000.0,38000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,52000000.0,96000000.0,43000000.0,,-30000000.0,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,42000000.0,38000000.0,39000000.0,38000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
General And Administrative Expense,42000000.0,38000000.0,39000000.0,38000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,1636000000.0,789000000.0,1678000000.0,541000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,1636000000.0,789000000.0,1678000000.0,541000000.0,,ARCC,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,-12226152.0,-13599660.0,8574804.0,-17745777.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.248,0.204,0.252,0.027,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,763621000.0,550555000.0,407864000.0,160595000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,-49299000.0,-66665000.0,34027000.0,-657251000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-49299000.0,-66665000.0,34027000.0,-657251000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,314238000.0,154969000.0,113299000.0,-743930000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,235936000.0,241880000.0,237285000.0,214362000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,2618646000.0,2907284000.0,2331715000.0,1490824000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,714322000.0,483890000.0,441891000.0,-496656000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
EBIT,478386000.0,242010000.0,204606000.0,-711018000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-54562000.0,-45204000.0,-51921000.0,-51731000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,54562000.0,45204000.0,51921000.0,51731000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,351310848.0,208034340.0,87846804.0,-104424777.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,314238000.0,154969000.0,113299000.0,-743930000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,3251678000.0,3499566000.0,2902072000.0,1954591000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,199906000.0,207259000.0,208325000.0,148370000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,196083000.0,201740000.0,201579000.0,148370000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,1.57,0.75,0.54,-5.01,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,1.6,0.77,0.56,-5.01,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,314238000.0,154969000.0,113299000.0,-743930000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,314238000.0,154969000.0,113299000.0,-743930000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Net Income,314238000.0,154969000.0,113299000.0,-743930000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Minority Interests,-4481000.0,-1594000.0,-941000.0,-1577000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,318719000.0,156563000.0,114240000.0,-742353000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,318719000.0,156563000.0,114240000.0,-742353000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,105105000.0,40243000.0,38445000.0,-20396000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,423824000.0,196806000.0,152685000.0,-762749000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,-28221000.0,-64372000.0,31688000.0,-656423000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,21078000.0,2293000.0,-2339000.0,828000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,-12965000.0,-58110000.0,38131000.0,-657251000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Impairment Of Capital Assets,12965000.0,58110000.0,-38131000.0,657251000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,-36334000.0,-8555000.0,-4104000.0,,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-54562000.0,-45204000.0,-51921000.0,-51731000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Total Other Finance Cost,,,,,39301000.0,CHX,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,54562000.0,45204000.0,51921000.0,51731000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,506607000.0,306382000.0,172918000.0,-54595000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,633032000.0,592282000.0,570357000.0,463767000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,633032000.0,592282000.0,570357000.0,463767000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,1139639000.0,898664000.0,743275000.0,409172000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,2618646000.0,2907284000.0,2331715000.0,1490824000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,3758285000.0,3805948000.0,3074990000.0,1899996000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,3661801000.0,3718221000.0,2999270000.0,1841553000.0,,CHX,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,29339352.0,179823960.0,-23118996.0,-336351645.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.168,0.306,0.178,0.315,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,16675942000.0,5228022000.0,3860176000.0,3693209000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,174639000.0,587660000.0,-129882000.0,-1067783000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,174639000.0,587660000.0,-129882000.0,-1067783000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,3447443000.0,620506000.0,721018000.0,230385000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,8189280000.0,2759564000.0,1802071000.0,1383202000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,99630956000.0,70848983000.0,34168686000.0,28957798000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,16850581000.0,5815682000.0,3730294000.0,2625426000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
EBIT,8661301000.0,3056118000.0,1928223000.0,1242224000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-617605000.0,-490703000.0,-624029000.0,-459234000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,1171136000.0,1079409000.0,838320000.0,675852000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,553531000.0,588706000.0,214291000.0,216618000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,3302143352.0,212669960.0,827781004.0,961816355.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,3447443000.0,620506000.0,721018000.0,230385000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,110770469000.0,81234883000.0,38984618000.0,33038362000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,6092620000.0,429246000.0,1102505000.0,1784948000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,56528271.0,50102124.0,51429943.0,44734713.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,51926369.0,49501065.0,47668217.0,44734713.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,60.92,12.4,8.04,5.16,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,66.4,12.52,15.12,5.16,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,3441869000.0,620506000.0,412679000.0,-232367000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Average Dilution Earnings,-5574000.0,0.0,-308339000.0,-462752000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,3447443000.0,620506000.0,721018000.0,230385000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Net Income,3447443000.0,620506000.0,721018000.0,230385000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Minority Interests,-3005111000.0,-944633000.0,-234554000.0,-104870000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,6452554000.0,1565139000.0,955572000.0,335255000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,6452554000.0,1565139000.0,955572000.0,335255000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Earnings From Equity Interest Net Of Tax,222674000.0,193708000.0,59809000.0,-52706000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,1260285000.0,605278000.0,194140000.0,178411000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,7490165000.0,1976709000.0,1089903000.0,566372000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,199648000.0,574999000.0,-127971000.0,-1065491000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,25009000.0,-12661000.0,1911000.0,2292000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,-640004000.0,-359500000.0,-273713000.0,-114168000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Ppe,,1758000.0,0.0,0.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Business,0.0,14232000.0,0.0,0.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Other Special Charges,,,-1911050.0,-2292191.0,-17873433.0,JKS,,,,,,,,,,,,,,,,,,,,,,,
Impairment Of Capital Assets,640004000.0,373732000.0,273713000.0,114168000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,814643000.0,947160000.0,143831000.0,-953615000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-617605000.0,-490703000.0,-624029000.0,-459234000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Total Other Finance Cost,,,,,19171101.0,JKS,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,1171136000.0,1079409000.0,838320000.0,675852000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,553531000.0,588706000.0,214291000.0,216618000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,7908122000.0,1892413000.0,1841903000.0,2091097000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,11139513000.0,10385900000.0,4815932000.0,4080564000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,-1175498000.0,-1089435000.0,-465685000.0,-191981000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Research And Development,911869000.0,724769000.0,461590000.0,389192000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,11403142000.0,10750566000.0,4820027000.0,3883353000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Selling And Marketing Expense,6819305000.0,7241888000.0,2856465000.0,2473982000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
General And Administrative Expense,4583837000.0,3508678000.0,1963562000.0,1409371000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Other Gand A,4583837000.0,3508678000.0,1963562000.0,1409371000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,19047635000.0,12278313000.0,6657835000.0,6171661000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,99630956000.0,70848983000.0,34168686000.0,28957798000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,118678591000.0,83127296000.0,40826521000.0,35129459000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,118678591000.0,83127296000.0,40826521000.0,35129459000.0,,JKS,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,,,,,,MUFG,,,,,,,,,,-18072010623.851276,129298165833.61095,-11801413000.0,-3102677000.0,,,,,,,,,,
Tax Rate For Calcs,,,,,,MUFG,,,,,,,,,,0.233326,0.23543,0.247,0.277,,,,,,,,,,
Total Unusual Items,,,,,,MUFG,,,,,,,,,,-77454000000.0,549200000000.0,-47779000000.0,-11201000000.0,,,,,,,,,,
Total Unusual Items Excluding Goodwill,,,,,,MUFG,,,,,,,,,,-77454000000.0,549200000000.0,-47779000000.0,-11201000000.0,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,,,,,,MUFG,,,,,,,,,,1490781000000.0,1116496000000.0,1130840000000.0,777018000000.0,,,,,,,,,,
Reconciled Depreciation,,,,,,MUFG,,,,,,,,,,362367000000.0,334636000000.0,363250000000.0,355450000000.0,,,,,,,,,,
Net Interest Income,,,,,,MUFG,,,,,,,,,,2457576000000.0,2926209000000.0,2043488000000.0,1904973000000.0,,,,,,,,,,
Interest Expense,,,,,,MUFG,,,,,,,,,,5011100000000.0,2372731000000.0,543952000000.0,773715000000.0,,,,,,,,,,
Interest Income,,,,,,MUFG,,,,,,,,,,7468676000000.0,5298940000000.0,2587440000000.0,2678688000000.0,,,,,,,,,,
Normalized Income,,,,,,MUFG,,,,,,,,,,1550162989376.1487,696594165833.611,1166817587000.0,785116323000.0,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,,,,,,MUFG,,,,,,,,,,1490781000000.0,1116496000000.0,1130840000000.0,777018000000.0,,,,,,,,,,
